Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
F_Marchetti   34 ita 26  1  1  1 27  74   1   1   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Lynch       22 wal 20  1  1  1 24  47   1   1   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Fernandez   27 par 18  1  1  1 22 545   1   1   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Mertesacker 35 ger  1 23 12  8 29   1 422  69 404   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Bianco      29 ita  1 22 14 10 24   1 308 650 898   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Martinez    32 esp  1 20 12  4 31   1 925 252 554   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Reynolds    31 sco  1 20 11  7 24   1 866 816 948   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Junior      24 bra  1 19 15  3 24   1 654 851 618   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Lopes       30 bra  1 16  9  7 26   1 773 468 505   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Innocenti   23 ita  1 10 24 15 24   1 347 200 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Taison        27 bra  1 10 22 14 28   1 187 109 942   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Elia        32 ned  1  4 22 20 25   1 699 655 649   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Sanchez     31 col  1 14 22  8 24   1 583 355 371   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Hourihane   26 ire  1  8 21 14 29   1 459  18 266   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Walcott     30 ENG  1  4 16 25 21   1 112 613 185   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Carrillo    26 arg  1  5 20 23 22   1 320 196 409   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Doumbia     32 civ  1  4 13 21 31   1 397 610 856   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_King        25 nor  1  2  9 17 25   1 459  73  99   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Blanco      25 col  1  5  7 16 23   1 400 500 739   0   0    0   0   0   0   0   0   0   0   0   0   0   0
