Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Cabal       21 spa 21  1  1  1 25 574 300 300 300  14   0 1284   0  35   6   0   0   0   0   0   0   0   0
N_Kabrud      19 nzl 18  1  1  1 69 912 300 300 300   3   1  236   0   5   0   0   0   0   0   0   0   0   0
T_Elzey       19 cze 17  1  1  1 45 422 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Rhoder      20 rsa  1 18  5  3 11 300 374 125 174   1   0   96   1   0   0   4   0   0   0   0   0   0   0
P_Palkovic    18 cze  1 17  6  3 49 300 903 566 327  15   0 1370   2   0   0  12   4   5   1   0  14   0   0
KFfeffell     18 bra  1 17  8  3  8 300 968 762 957  16   0 1520   1   0   0  15   5   2   0   0   0   0   0
P_Bolinger    18 gre  1 17  2  7 24 300 819 676 869  16   0 1520   0   0   0  19   1   4   1   0   2   0   0
P_Silverholt  18 swe  1 17  3  2 20 300 625 518 941  16   0 1520   0   0   0  11   4   1   0   1   8   0   0
Rui_Pinto     18 por  1 17  5  6 22 300 419 158 150  15   0 1424   2   0   0  12   5   2   0   0   4   0   0
Q_Shuldheisz  21 cro  1  3 19  4 20 300 736 822 471  13   0 1176   0   0   0   1  17   2   0   1   0   0   0
M_Antoniou    18 fra  1  3 18  3 26 300  68  38  86  16   0 1520   0   0   0   1  17   2   0   0   0   0   0
I_Bobadilla   18 arg  1  7 17  2 26 300 559 573 899  14   0 1251   0   0   0   0   7   3   0   0   2   0   0
F_Simson      18 mex  1  5 16 12 26 300 857 330 480   6   2  517   0   0   0   0   2   3   0   1   2   0   0
J_Staudt      18 gre  1  8 16  8  8 300  57 165 882   2   0  192   0   0   0   1   1   0   0   0   0   0   0
PinkPinkFiz   18 ire  1  4  5 19  9 300 948 853 203  16   0 1520   0   0   0   2   5  20   1   1   0   0   0
U_McQuitty    19 ire  1 10  4 17 11 300 313 559 523   1   0   96   0   0   0   0   0   1   0   0   0   0   0
P_Abisso      17 cam  1  7  9 16 12 300 133 485 345  15   0 1424   3   0   0   2   7  27   4   0   0   0   0
F_Klosset     18 hol  1  3  5 16  8 300  66  40 316   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Hooton      17 jap  1  2 12 15  8 300 760 947 289   0   0    0   0   0   0   0   0   0   0   0   0   0   0
