Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
G_Stopper     28 mex 26  2  2  2 37 873 370 370 370  10   0  948   0  38  13   0   0   0   0   0   0   0   0
B_Sefton      23 sco 21  2  2  2 14 151 129 129 129   9   0  890   0  23  12   0   0   0   0   0   0   0   0
R_Prussak     21 cze 20  1  1  1 14 724 843 843 843   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Sents       31 por  2 23 16  9 22 892 526 552 142  14   0 1147   0   0   0  11   9  12   5   1  13   0   0
L_Aldai       22 isr  1 23  8 19 21 834  17 108 655  16   4 1109   0   0   0  13   3  15   1   0   3   0   0
K_Hartell     24 eng  2 22 10 19 37 247 396 936 219  18   3 1369   2   0   0  15   9  21   2   1  10   0   0
H_Kazuyoshi   20 jap  1 21 11 20 31 962 962 967 749  19   0 1838   3   0   0  22  12  39   7   2   3   0   0
L_Tenant      22 aus  2 20 16  6 19 201 691 854 614   9   2  595   0   0   0   3   3   3   0   0   0   0   0
N_Culling     20 wal  1 19 14 12 16 805 131  42   6   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Begbie      26 sco  2 18 24  7 14 127 797 880 732  19   0 1838   1   0   0  12  37   8   0   2   0   0   0
S_Gehring     28 ger  2 21 24 11 26 222  68 367 782  16   0 1535   2   0   0  12  30  13   3   0  13   0   0
E_Jones       26 eng  2 10 24 14 21 273  73 407 852  19   0 1792   2   0   0   8  37  17   3   4   3   0   0
Babybinho     23 bra  2  5 23 20 10 267 500 626 307  19   1 1659   1   0   0   0  32  43   3   4   3   0   0
Campbundo     22 bra  1 16 22 13  8 924 962  60 804  19   0 1450   0   0   0   3  18  14   3   1   0   0   0
V_Swabenthal  22 saf  1 17 21  5 11 864 897 201 768  10   3  702   0   0   0   4  17   1   0   3   0   0   0
K_Peacham     28 ire  2 17 20  8 60 609 908 920 725  12   7  683   0   0   0   4  10   4   2   2   0   0   0
W_Kelsen      29 wal  2 17 20 12 42 611  89 658 239  11   7  489   0   0   0   8   6   6   0   0   0   0   0
C_Massanet    23 den  2  5 19 19 20 113 248 554 921   5   1  353   0   0   0   0   3  11   1   0   0   0   0
B_Davies      31 ENG  1 16  3 25 18 858 639 358  64  13   5  679   0   0   0   1   2  13   1   1   0   0   0
Q_Gehrken     26 isr  2 15  8 23 47 663 486 903 359  11  11  347   0   0   0   2   1  17   2   1   0   0   0
M_DeFree      22 fra  1 19  9 22 46 810  41  27  21  11   7  421   0   0   0   4   1  12   1   0   5   0   0
Hugo_Snatch   20 spa  1 17 10 18 17 762 420  28 760   0   0    0   0   0   0   0   0   0   0   0   0   0   0
