Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
AJ_Camodo     28 cam 28  1  1  1 22 723 300 300 300  19   0 1815   1 105  49   0   0   0   0   0   0   0   0
T_Helms       23 ger 20  1  1  1  9 549 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Litto       28 ita  8 25 16 15 12 300 209 885 682  11   0  919   1   0   0   9   3   4   1   0   0   0   0
R_Figueiredo  27 por  4 25 16 15 31 300 630 686 334  19   0 1811   1   0   0  32  14  23   1   0   8   0   0
K_Prescott    30 usa  5 24 20 16 27 300 285 450 282  18   0 1649   0   0   0  20  14  21   2   1  14   0   0
M_Tensfeldt   26 ger  1 22 16 15 21 300 567 507 398  19   0 1699   1   0   0  13  13  19   0   3   2   0   0
G_C_Moore     24 wal  3 22 17 15 30 300 466 205 802  17   0 1514   1   0   0  14  14  11   2   1   4   0   0
B_Schweig     26 swe  1 20 11  8 11 300 368 687 615   1   1   72   0   0   0   1   0   0   0   0   0   0   0
M_Boxall      26 nzl  1 19 15  4 23 300 703 559 316   3   3   94   0   0   0   2   1   1   0   0   0   0   0
F_Leboeuf     26 fra  1 19 16  5 10 300 848  31 120  10  10  222   0   0   0   3   2   0   0   0   0   0   0
J_Latal       31 cze  8 15 24 15 28 300 921 409 392  19   0 1815   0   0   0  11  27  10   0   2   2   0   0
C_Yastrzemski 28 cze  1  8 24 16 40 480 302 949 442  19   0 1798   3   0   0   6  26  25   4   2   4   0   0
O_Aguilar     29 mex  1  6 23 19 22 390 368 523 189  17   0 1582   0   0   0   3  27  26   3   1   0   0   0
Tarildo       27 bra  1 16 20  4 53 300 161 976 153  12   9  613   0   0   0   5   6   2   0   0  10   0   0
D_Bledsoe     28 usa  1 17 20 15 29 300 274 388 431  12   0  809   0   0   0   4   9   6   0   1   0   0   0
C_de_Vil      23 hol  2 17 20  5 30   3 460  33 315  10   4  604   0   0   0   4   8   1   1   1   6   0   0
Camelino      28 bra  2  9 21 25 47 857  21 935 585  16   0 1440   0   0   0   2  11  42   6   0   6   0   0
P_Deegan      25 ire  1 11  8 21  9 300 993 751 174   9   2  625   0   0   0   2   1  11   2   0   2   0   0
A_Boerkel     23 usa  1  8  9 21 13 750 433 431 317  10   3  690   0   0   0   1   1  11   1   0   0   0   0
D_Dillinger   22 nzl  1  5 13 19 38 300 935 338  27   1   1   88   0   0   0   0   0   0   0   0   0   0   0
