Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
W_Sagforer    18 cze 18  1  1  1 44 506 300 300 300  16   1 1498   2  67  27   0   0   0   0   0   0   0   0
P_Medici      19 spa 18  1  1  1 28 378 300 300 300   1   0    8   0   0   0   0   0   0   0   0   0   0   0
D_Winslade    18 sco 17  1  1  1 28 518 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Bodell      19 ire 17  1  1  1 16 435 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Chuze       18 cze  6 19 10  8 27 300 745  18 923  16   0 1506   1   0   0  19  13   6   1   0   2   0   0
P_Sincoskie   19 rus  1 18  5  6 52 300 642  82 103  14   0 1253   0   0   0   8   0   2   1   0  20   0   1
X_Hempstead   21 aus  1 17  5  2 19 300 798 773 635   7   0  595   0   0   0   6   7   0   0   0   0   0   0
J_Flehmig     19 rus  1 17 11  6 59 300 511  98 955  13   0 1205   0   0   0   8  11   8   0   0   6   0   0
E_Baddorf     18 hol  1 17 10  8 56 300 418 871 146  15   0 1151   0   0   0  12   9   2   0   0  18   0   0
M_Whiffen     20 nig  1 16  3  4 28 300 574 698 215   9   0  843   0   0   0   9   1   4   0   0   0   0   0
P_Stenberg    18 swe  1 16 10  3 18 300 151 621 862   1   1   17   0   0   0   0   0   0   0   0   0   0   0
X_Lochine     16 por  1 15  4 10 53 300 279 454 631   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Thomze      20 rus  5 15 20 13 26 300 451 633 507  16   0 1436   3   0   0   8  25  16   4   2   6   0   0
P_Yesersky    20 jap  1  2 19  7 21 300 688 599 793  13   0 1103   0   0   0   0  18   5   0   1   4   0   0
W_Constantino 18 gre  2  8 19 11 23 300 634 395 640  13   0 1224   0   0   0   1  11  11   0   1   4   0   0
W_Skeels      20 ire  1  5 18  3 25 300 998 859 151  10   0  947   0   0   0   1  18   1   1   4   0   0   0
I_Godard      19 nzl  1  3 18  3 31 300 422 653 364   4   2  309   0   0   0   1   6   0   0   0   2   0   0
L_Roark       19 nir  1  2 17  7 41 300 639 704 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Annis       19 uru  1  2 17  9 13 300 886 269 643   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Bagnini     17 ita  1  7 16  3 16 300 402 182 477   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Stanga      16 jap  1  8 15  5  9 300 654 152 766   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Vohland     16 por  1  4 14  7 25 300 693 211 855   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Delmore     21 hol  1  5 10 20  8 300 535 651 828  16   0 1506   0   0   0   0   8  40   5   0   0   0   0
D_Jacobi      20 cam  5  7  9 20 38 450 950 794 365  15   0 1378   0   0   0   7   1  27   3   0  14   0   0
K_Ellingson   21 swe  1  2 11 17 22 300 563 710 485  13  12  358   0   0   0   0   1   3   0   0   0   0   0
R_Jeffrey     21 aus  1  3  4 17 26 300 173 650 217   1   1   21   0   0   0   0   0   0   0   0   0   0   0
W_Obershaw    17 rus  1  5  7 16 23 300 257 428 481   1   1   21   0   0   0   0   0   0   0   0   0   0   0
