Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Lambertini  19 pol 17  1  1  1 24 376 300 300 300  16   0 1520   0  63  29   0   0   0   0   0   0   0   0
M_Hurgoi      18 rom 16  1  1  1 48 507 300 300 300   1   0   97   0   7   0   0   0   0   0   0   0   0   0
S_Hennigh     17 ecu 14  1  1  1 22 152 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Kelsey      17 fra 14  1  1  1 40 152 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Roman       21 rom  1 19  6 10 19 300 284 909  90  14   0 1255   0   0   0  12   3  10   0   0   2   0   0
T_Gheorghiu   21 rom  1 18  5  7 23 300 973 657 120   9   3  685   2   0   0   9   2   1   0   0   0   0   0
S_Zamfir      20 rom  1 18  4  9 34 300 549 843  89  15   6 1004   0   0   0   7   4   6   1   0   4   0   0
P_Solomovici  19 rom  1 18 10  5 22 300 802 209 308  15   1 1140   0   0   0  15   2   3   0   0   0   0   0
E_Skutnik     19 rom  1 17 11  5 26 300 878 696 985  14   2 1169   0   0   0  10   8   4   1   0   0   0   0
M_Dumitru     17 rom  1 15 13  3 40 300 737 467 104  12   1 1034   1   0   0  10  10   2   0   2   2   0   0
D_Vanness     17 eng  1 14  6  6 43 300 152 226 226   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Kazaku      21 rom  1 17 20 14 10 300 924 443 741  16   0 1517   3   0   0  13  14  26   3   2   2   0   0
S_Kazaku      18 rom  1 13 17 10 21 300  36 589 213  16   0 1446   0   0   0   7  17   8   1   0   0   0   0
R_Munteanu    18 rom  1  5 17  9 33 300 643 618 124  16   0 1465   0   0   0   0  23   8   2   4  12   0   0
C_Cornea      18 rom  1 11 16  5 31 300 503 240 646  14   1 1187   1   0   0   2  24   2   0   2   0   0   0
A_Ciumak      17 rom  1  4 15  6 22 300 759 145 810  11   9  420   0   0   0   0  12   2   0   0   0   0   0
F_Pacuraru    21 rom  1  8 14 20 10 300 852 639  22  17   0 1614   0   0   0   3  11  30   7   1   0   0   0
R_Amanar      21 rom  1 15 16 19 17 300 366 155 458  14   0 1239   2   0   0  12  13  13   2   3   2   0   0
H_Ghita       21 rom  1  8 16 19 32 300 193 481  20  17   0 1617   1   0   0   4  14  23   2   1   4   0   0
G_Groza       17 rom  1  6  6 15 16 300  97 580  82   8   4  419   0   0   0   0   0   8   2   0   0   0   0
