Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Herrell     30 por 28  1  1  1 33 113 300 300 300  25   0 2373   1 153  30   0   0   0   0   0   2   0   0
F_Stoeber     26 ger 21  1  1  1 14 632 660 490 570   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Finnie      23 wal  1 28 15  6 14 300 503 573 627  25   0 2373   2   0   0  37  21  10   3   2   4   0   0
P_Calandra    29 aus  8 26 16 15 36 300 952  98 973  25   0 2373   3   0   0  48  19  37   4   2   0   0   0
W_Greer       24 aus  4 24 16  7 27 300 697  86 568  25   0 2373   2   0   0  38  20  26   0   4   4   0   0
C_Baradez     26 mex  6 23 16  2 20 300 547 917 951  18   0 1711   0   0   0  24  24   2   0   2   2   0   0
J_Iotov       23 rus  8 22  6  4 44 450 716 519 546   8   0  757   0   0   0  10   1   6   0   0   2   0   0
B_Selves      22 spa  1 20  5  5 52 300 655 208 324   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Mastalerz   23 mex  1 18  4  3 12 300 783 743 127   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Harrington  28 ire  1  5 28 11 36 660  65 713 380  24   0 2242   1   0   0   5  63  17   2   7  14   0   0
B_En'o        28 nig  5 11 25 16 39 810 923 635 231  24   0 2192   2   0   0   8  55  47   8   3  10   3   0
B_Kime        23 hol  2  5 25 10 24 300 520 492 850  25   0 2373   1   0   0   2  52  25   4   7   0   0   0
H_Kwein       31 jap  1  5 24  8 30 390 270 175 333   9   2  729   0   0   0   1  16   9   1   1   0   0   0
U_El-Sakka    27 egy  6 10 23  6 28 300 578 138 176   4   1  330   0   0   0   0  13   4   0   1   0   0   0
O_Mueller     20 ger  2  5 21 17 33 300 522 685 487  17   0 1574   1   0   0   2  21  36   6   2  10   0   0
E_Owrey       25 gre  1  6 18  3  8 480 724 657 528   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Allen       22 sco  1  2 17  3 51 300 810 795 239   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Shattock    22 arg  1  4 17  7 59 300 648 392 854   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Koothrappali  27 sco  3  7 17 24 27 570 197 206 925  24   0 2210   3   0   0   1  22 110  15   1  14   0   0
S_Tegous      22 fra  3  9 11 24 22 300 548 618 102  25   0 2294   2   0   0   5  14  94   9   0   0   0   0
R_Snivy       21 ger  1  3  3 19 21 300 305 394 435   2   2   79   0   0   0   0   0   3   0   0   0   0   0
