Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit  Wages
-----------------------------------------------------------------------------------------------------------------------
R_Ceni        34 bra 34  2  2  7 30 353 800 800 800   8   0  758   0  57   7   0   0   0   0   0   0   0   0 100 159061
C_Poenaru     28 rom 20  2  3  3 33 239 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  33696
A_Wisdom      34 eng  2 28 22  8 34 300 105 846 859   8   0  758   1   0   0  13  12   4   0   0   4   0   0  86 132374
W_Morgan      22 jam  3 25 11  6 10 380 214 540 936   6   0  473   0   0   0  11   6   1   0   1   0   0   0 100  73263
A_Hinkel      35 ger  1 25 10 10 44 300 312 999 551   4   0  354   0   0   0   9   2   0   0   0   0   0   0 100  70530
G_Pique       32 spa  2 25  9  6 22 300  52 683 925   4   2  180   0   0   0   3   1   1   0   0   0   0   0 100  70047
A_R_Essien    34 sco  1 23 20  1 23 300 910 835 498   8   2  629   0   0   0   7  10   0   0   1   4   0   0  96  77174
S_Howey       34 enf  2 22 19  5 36 300 855 740  65   7   3  511   0   0   0   8   6   3   0   0   0   0   0 100  68811
A_Johnson     35 eng  2  6 25 18 27 300 237 127 277   8   4  533   2   0   0   0   6  13   5   0   2   0   0 100  89244
E_Gabor       33 rom  2 18 25  5 21 400 307 647 577   6   1  526   0   0   0   3   8   4   0   0   0   0   0  98  88650
R_Pires       30 arg  3  9 25 17 31 500 674 946 590   8   3  565   0   0   0   0  10  10   0   3   2   0   0  98  88806
P_Henrique    32 spa  1 18 24  7 18 300 764 901 699   7   1  594   0   0   0   3  13   3   0   0   2   0   0  96  81961
T_Manniman    35 eng  2 18 24  5 25 250 515  85 661   5   2  344   0   0   0   2   5   2   0   1   0   0   0  98  80665
Doriva        24 bra  2 22 23 10 21 800  80 414 628   7   0  642   0   0   0   7   6   8   1   2  10   0   0  94  89510
G_Weah        30 sen  1  9  7 26 22 400 510 510  90   7   1  389   1   0   0   2   1  14   3   0   0   0   0 100  78215
R_Sharp       28 eng  3  6 11 25 22 700 458  33 485   7   1  451   0   0   0   1   2  15   1   0   0   0   0 100  73263
J_Vardy       22 eng  1  6  7 25 30 600 988 950 238   6   1  274   0   0   0   0   1   8   0   0   2   0   0 100  67431
Hugo_Sanchez  34 mex  2  9 16 24 27 300 870 252  17   6   1  386   0   0   0   0   5  11   1   0   0   0   0 100  78307
Janssen       21 hol  2  7  6 23 32 300 527 679 955   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100  53651
