Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Gogean      15 rom 18  1  1  1 23 815 400 400 400  16   0 1523   0  53  13   0   0   0   0   0   0   0   0 100
M_Twaddle     34 fra  2 22 12 19 22 290 450 813  36  17   3 1317   2   0   0  15  10  28   4   0   4   0   0  98
I_Harte       23 ire  2 22  8  7 20 500 368 378 452  15   4 1141   0   0   0  16   3   5   0   0  10   0   0 100
I_Muresanu    18 rom  3 18  7  6 31 500 490 881 643  12   1  821   0   0   0  11   4   3   1   0  12   0   0 100
E_Banciu      18 rom  1 16  8  4 21 800 135 906 908   1   1    2   0   0   0   0   0   0   0   0   0   0   0 100
Moreto        21 por  2 17 22  8 12 800 423 377 272  13   1 1022   1   0   0   9  15  10   1   1   2   0   0  94
Juninho       27 bra  2 10 22 11 21 800 888 247  12  13   0 1171   2   0   0   6  27  12   2   2   2   0   0 100
Ridoutkha     23 egy  2 16 21  7 20 600 393 628 639  15   0 1313   1   0   0  15  27  10   2   2  10   0   0  93
M_Antonio     23 eng  2 13 21  6 21 300 315 526 695  14   2 1195   1   0   0   5  30   6   1   4   2   0   0  95
M_Oezil       33 ger  2 17 20  9 18 300  36 878 876  15   1 1345   0   0   0  16  20  13   1   3  20   0   2  94
J_Cadette     26 por  2 15 20  6 21 300 383 698 786  12   2 1020   0   0   0   9  12   5   2   0  12   0   0  98
D_Mario       20 ita  2  6 19 18 21 500 712 653 545  12   3  919   0   0   0   1  10  17   1   0   2   0   0 100
D_Iacobescu   23 rom  1 10 19 16 33 500 301 281 719  14   0 1061   0   0   0   2  13  37   4   1   0   0   0 100
J_Milburn     20 eng  2 14 18  7 41 300 740 634 818  12   6  820   0   0   0  12   5   6   0   1   0   0   0  98
N_Barbulescu  18 rom  2 11 16  6 11 600 393 359 975   4   4  152   0   0   0   0   3   0   0   0   0   0   0 100
E_Davids      32 fra  2  6 16 16 36 300 550 580 676   1   0   63   0   0   0   0   1   4   0   0   0   0   0 100
D_Dobrescu    17 rom  1  7 15 10 20 300 372 416 377   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Sandulescu  18 rom  2  6  8 18 22 600 782 919  53  14   0  843   0   0   0   1   8  25   4   1   4   0   0 100
R_Giurgiu     19 rom  1  7  9 17 22 700 972 198 993  15  14  558   0   0   0   3   2  10   2   0   0   0   0 100
