Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
I_Akinfeev    29 rus 27  1  1  1 28  60 300 300 300  12   0 1149   0 111  16   0   0   0   0   0   0   0   0 100
M_Sportiello  23 ita 21  1  1  1 21 652 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Bond        22 eng 18  1  1  1 22 697 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Bassong     29 cam  1 16 12  3 17 297 659 462 198  12   0 1090   0   0   0  15  11   8   0   0   0   0   0  94
K_T-Catherine 26 fra  1 15  8  4 21 300 729 556 377  11   2  830   0   0   0   9   6   7   0   1   2   0   0  94
Doria         21 bra  1 15 10  4 20 300 661   1 773  11   2  897   0   0   0  14  10   7   1   0   0   0   0 100
J_Paredes     28 ecu  1 15  8  5 22 300 129 794 371  11   2  805   1   0   0   7   9   8   1   1  12   0   0  98
D_Pudil       30 cze  1 14  7  7 26 300 169 679 327   7   4  345   1   0   0   6   1   1   1   0   0   0   0 100
G_Tamas       32 rom  1 13 12  5 12 300 588  57 800  11   1  967   1   0   0  17  14   7   0   0   2   0   0  94
T_Hoban       21 ire  1 13  5  6 26 300 182 844 816   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Cathcart    27 nir  1 12  6  5 24 300 444 927 849   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Dervite     27 fra  1 11  7  5 24 300 773 677 727   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_M_Daehli    20 NOR  1  6 18 12 21 300 456 736 807  12   0 1149   1   0   0   3  20  25   1   1   0   0   0  94
E_Konoplyanka 25 ukr  1  5 17 10 32 300 589 902 746  12   0 1111   0   0   0   2  22  19   2   0   6   0   0  94
I_Anya        27 sco  1  2 15 11 19 300 943 491 594  10   1  757   0   0   0   2  16  19   3   2   2   0   0  97
A_Abdi        29 sui  1  3 14 11 15 300  49 864 701   6   6  190   0   0   0   1   6   6   0   0   0   0   0 100
S_Murray      22 ire  1  9 14  9 19 300 289 482 851  11   1  875   2   0   0   7  21  18   1   2   6   0   0 100
V_Moses       24 nig  1  2 13 10 20 300 878 668 446   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Arter       25 eng  1 10 13  2 23 300 934 374 821  12   3  874   0   0   0   6  14   4   0   0   4   0   0  97
J_Colback     26 eng  1 10 12  5 24 300 139 940   1   9   5  417   0   0   0   3   8   2   0   0   2   0   0 100
G_Munari      32 ita  1  8 12  3 17 300 544 533 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Jones       31 eng  1  8 12  5 20 300 463 386 670   1   1    2   0   0   0   0   0   0   0   0   0   0   0 100
C_Mavrias     21 gre  1  8 12  5 25 300 660 315 828   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Byers       19 sco  1  7 12  6 17 300 348 167 395   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Vydra       23 cze  1  6 11 16 22 300 352 570 105  12   0  915   1   0   0   3   7  46   3   0   6   0   0 100
T_Deeney      27 eng  1  2 11 14 26 300 989  70 977   8   8  235   0   0   0   0   1  11   1   0   0   0   0 100
