Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Johnstone   28 eng 17  1  1  1 20 563 100 100 100  15   0 1432   0  63  28   0   0   0   0   0   0   0   0 100
J_Bond        28 eng 15  1  1  1 21 100 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Gibbs       31 eng  1 16 12  5 26 100 835 141 127  15   0 1334   1   0   0  20  11   7   2   0   4   0   0  89
J_Branthwaite 18 eng  1 16  7  3 24 300 683 528 530  10   6  432   0   0   0   3   1   2   0   0  12   0   0 100
O_Wijndal     21 ned  1 16 12  6 26 100 616 350 385  11   0  920   0   0   0  14   5   9   1   0  12   0   0  91
K_Wilson      21 eng  1 15  9  4 21 100 925 779 171  10   2  849   0   0   0  10   5   3   1   0   0   0   0 100
S_Ajayi       27 nig  1 15  8  4 21 100 860 223 440   2   1  165   0   0   0   4   4   0   0   0   0   0   0 100
C_Townsend    28 eng  1 15 10  4 24 100 553 717 323   9   0  855   1   0   0   5   6   4   0   1   0   0   0  95
N_Ferguson    20 eng  1 15  8  3 26 100 471  59 916   4   4   61   0   0   0   0   0   0   0   0   0   0   0 100
D_Furlong     25 eng  1 14  9  3 21 100 792 586 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Connolly    23 eng  1 13 18  6 27 100 678 424 947  15   0 1318   1   0   0  13  21   3   0   1   0   0   0  96
A_Anguissa    25 cam  1 13 17  6 20 100 918 274  10  15   0 1280   0   0   0  13  14   5   0   0   2   0   0  91
F_Krovinovic  25 cro  1  5 16 12 25 100 933 689 106  14   4 1143   2   0   0   3  17  15   2   1   6   0   0  95
M_Pereira     25 bra  1  3 16 12 26 100 920 666 678  15  10  626   0   0   0   0   2   6   0   0   2   0   0 100
M_Phillips    30 sco  1  3 15 11 21 100 861 701 815   1   1   46   0   0   0   0   0   1   0   0   0   0   0 100
R_Harper      21 eng  1  9 15  8 20 100 847 378 826  12   1  769   0   0   0   5  10   5   0   0   2   0   0  96
B_Kapustka    24 pol  1  3 15 10 28 100 688 132 486   1   1   16   0   0   0   0   0   1   0   0   0   0   0 100
J_Livermore   31 eng  1 12 15  5 20 100 864 104 534  13   0 1181   0   0   0   7  21   2   0   3   4   0   0  96
S_Field       23 eng  1 11 14  5 26 100 170 550 112  12   1  891   0   0   0   9  15   4   1   0  10   0   0 100
C_Brunt       36 nir  1  9 12  4 21 100 940 486 865   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Nketiah     21 eng  1  1 14 18 22 300 443 503 765  14   2 1151   2   0   0   0   5  37   4   1  12   0   0  96
R_Brewster    20 eng  1  6 13 17 26 100 972  13 983  14   4 1064   1   0   0   2   9  32   6   0   2   0   0 100
