Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Turfitt     18 eng 17  1  1  1 34 327 696 696 696  12   0 1084   0  69  18   0   0   0   0   0  10   0   0
S_Luschak     19 hol  1 19  5  6 32 696 309  39 780  13   0 1239   4   0   0  32   3   7   0   0   6   0   0
I_Cutright    19 nir  1 17  6  7 13 544 758 920  25  13   0 1239   0   0   0  23   7  11   0   2   6   0   0
H_Xuereb      18 jap  1 16  9  6 50 696 546 230 971   2   0  191   0   0   0   6   0   2   0   0   0   0   0
P_Pottle      17 sco  1 16  7  3 43 424 526 951 276  13   0 1204   1   0   0  26   7   6   0   0  10   0   1
M_Evanchuck   17 xxx  1 16  7  5 66 384  62  70 673  11   0 1048   1   0   0  14   5   9   1   1   9   0   0
D_Ivemay      17 xxx  1 14  6  3 12 384  65  21 632   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Dunshee     19 xxx  1  5 22 17 21 384 972 258 253  13   0 1239   2   0   0   1  21  24   8   3   3   0   0
B_Bodge       19 eng  1  5 18 11 35 424 465 316 124  13   0 1229   0   0   0   2  24  11   1   2   6   0   0
I_Muncer      18 xxx  1  6 18  2 14 384 947 251 796  11   0  996   0   0   0   4  17   4   0   2   0   0   0
K_June        19 eng  1 13 17  4  8 840 574 849 696   9   4  592   0   0   0   2  10   3   1   1   0   0   0
E_Eustler     19 ire  1  8 17 15 26 696  57 452 266  12   1 1058   0   0   0   4  16  17   0   1   0   0   0
M_Buttolph    19 ger  1  3 16  6 15 544 727 591 277   1   1   14   0   0   0   0   0   0   0   0   0   0   0
Y_Pruden      18 xxx  1  1 16  5 10 384 733 630 860   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Kurlowicz   19 pol  1  6 16  3 14 544  27 446 423   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Wrest       19 ire  1  9 16  3 35 544 399 301 252   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Aymerich    17 pol  1  5 16 13 18 544 218 240 149   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Lupino      18 xxx  1 11 16  6 37 384 674  99 520   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Runthal     17 xxx  1  3 15  5 23 384 630 862 856   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Pullicino   16 xxx  1  5 13  4 19 384 111 265 782   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Chanho        19 hkg  1 11  7 19 10 544 161   2 775  12   0  964   0   0   0   4   6  33   5   1  13   0   0
H_Worthing    19 eng  1  4 13 18 14 840 162 658 774  13   0 1184   1   0   0   6  13  25   8   1   3   0   0
I_Bulwan      17 ire  1  6  9 16 22 544 272  79 160   1   1   55   0   0   0   0   0   2   0   0   0   0   0
F_Everling    17 swe  1  5 11 15 14 549 320 247 355   2   1  155   0   3   4   0   0   0   0   0   0   0   0
