Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Kitai       29 bel 28  1  1  1 33 931 874 874 874   5   0  477   0  28   6   0   0   0   0   0   0   0   0
J_Lossl       25 den 21  2  2  2 27 431 289 289 289   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Rypski      22 rus 21  2  2  2 42 266   1   1   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Kutassy     21 fin 19  1  1  1 15 371 992 992 992   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Moutier     20 ire 17  1  1  1 12  40 628 628 628   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Z_Dragon      28 swe  2 27  6 18  1 455 879  10 284   4   0  317   0   0   0   4   1   3   0   0   0   0   0
E_Saponara    27 por  2 26 15  4 11 307 814 446 984   5   0  477   0   0   0   5   5   2   0   0   0   0   0
F_Mammanna    27 arg  1 26 16  5 39 332 648 795 638   5   0  477   0   0   0   6   7   5   0   0   0   0   0
H_Redknapp    32 eng  3 23 16  7 20  92 993 450 121   3   0  287   0   0   0   3   1   2   0   0   0   0   0
J_Helppi      22 fin  1 22  5 11 39 856 361 828  78   3   1  257   0   0   0  12   1   3   0   0   3   0   0
J_Egnatuk     27 gha  2 21  5 12 14 678 809 462 986   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Beesler     27 eng  2 21  9  5 14 577 501 915 610   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Mercier     21 can  1 21 13  4 28 848  93 376 810   1   0   93   0   0   0   3   0   1   0   0   0   0   0
S_Trickett    21 eng  1 19  3 10 17 848 731 840 498   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Nyas        20 uru  1 18  8  6 59 772 423 998 404   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Workley     20 sco  1 16  9  4 37 772 855 750 477   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Waken       28 eng  2  7 27 12 37 523 752 576 585   5   0  477   0   0   0   0   7   6   1   0   0   0   0
A_Marriner    31 eng  2 18 26  6 31 471 238 855 703   5   0  477   1   0   0   2  13   4   0   0   0   0   0
B_Harvey      31 aus  2 16 25 13 32 988 548 532 475   5   0  477   0   0   0   3   8   8   1   0   3   0   0
Pamukkale     32 tur  2  9 23 19 36 187 641 552 160   2   0  191   1   0   0   2   3   6   0   2   3   0   0
N_Pultz       28 aut  1 11 23  9 37 858 612 992  26   1   0   96   0   0   0   0   2   1   0   0   0   0   0
F_Egerton     27 nir  2 21 23  5 19 343 631 457 810   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Ho          22 usa  1  6 21 19 26 856 634 334 104   2   0  190   0   0   0   1   6   3   0   0   0   0   0
I_Sahamies    21 fin  1 12 21 16 10 848 409  88 291   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Lascari     23 por  2 11 19  4 24 127 226 236 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Dushaw      20 sco  1  4 17 12 42 772 117 120 225   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Attwell     29 eng  2 21  3 26 27 253  20 445 113   4   0  381   0   0   0   0   0   9   1   0   0   0   0
K_H_Mason     23 eng  2  5 22 23 31  81 458 115 967   5   0  477   0   0   0   2   4   9   2   0   0   0   0
C_D'Wan       23 usa  1  7 10 22 25 982 867 280  13   1   0   96   0   0   0   0   1   2   0   0   0   0   0
E_Bellin      23 wal  2  6  9 19 19 127 425 245 632   0   0    0   0   0   0   0   0   0   0   0   0   0   0
