Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
O_Swinn       19 eng 18  1  1  1 10 540 803 803 803  10   0  989   0  43  14   0   0   0   0   0   0   0   0
N_Murano      16 xxx 13  1  1  1 44 904 363 363 363   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Rukin       19 arg  1 18  7  5 17 803 916 206 282  10   0  989   1   0   0  19   3   2   1   0   6   0   0
D_Hugeback    19 usa  1 17 10  5 22 803 580 164 326  10   0  957   0   0   0  16   6   8   1   0   0   0   0
H_Hulin       18 ire  1 16 13  7 58 659 970  34 676   9   0  824   1   0   0   9   7  10   1   0  19   0   0
X_Oxton       18 xxx  1 16  2  4 15 363 631 457 667  10   0  950   1   0   0  12   0   2   0   0   0   0   0
S_Auliff      19 ire  1 16  5  7 28 659 174 990 899   3   2  165   0   0   0   2   0   1   1   0   0   0   0
N_Kutcher     19 ger  1 16  9  7 30 523   1 171  56   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Kula        18 ken  1 14  4  4 12 523 883 922 527   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Nutman      17 fra  1 14  2 14 10 523  61 122 918   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Syntis      18 xxx  1  7 17  2 13 363 984 903 469  10   0  864   1   0   0   4  12   4   2   0   3   0   0
U_Nukoop      18 nig  1  4 17  6 13 523 240 390 873   6   0  541   0   0   0   1   6   0   0   1   3   0   0
S_Swatsell    17 xxx  1  4 16  8 21 363 465 647 863  10   0  945   0   0   0   2  15   9   1   1   0   0   0
W_Tumblin     19 ire  1  7 16  3 16 659 946 128 998   4   0  381   0   0   0   1   3   0   0   0   0   0   0
H_Cycholl     17 swe  1 12 15  7 12 523 251 305 437   5   1  476   0   0   0   4   4   0   0   1   0   0   0
C_Cubbins     16 xxx  1  3 15  3 58 363 688 234 441   4   0  383   0   0   0   0   6   0   0   1   0   0   0
I_Burkholtz   17 xxx  1  2 14  3 26 363 484 758 743   1   1   60   0   0   0   0   3   0   0   0   0   0   0
B_Pyles       18 nor  1 11 14  4  8 523 366 101 685   1   1   34   0   0   0   0   0   0   0   0   0   0   0
M_Surban      17 xxx  1  2 13  4 18 363 669 714 210   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Pugliese    19 cyp  1  4 13 18 46 803 432 261 545  10   0  989   0   0   0   2   7  29   1   0   3   0   0
U_Swink       19 ire  1  5  3 18 35 659 972 670 135  10   0  852   0   0   0   0   1  19   3   0  16   0   1
D_Huey        19 ire  1  4  7 17 27 659 708 618 364   4   2  329   0   0   0   0   1   8   1   0   0   0   0
J_Dvorak      19 ire  1  4  6 16 17 659 838 836 131   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Gunning     19 ire  1  9  3 15 17 659 246 725 822   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Usnick      18 ita  1  5  6 14 50 523 190  34 947   0   0    0   0   0   0   0   0   0   0   0   0   0   0
