Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Kusine      18 xxx 16  1  1  1 14 254 356 356 356   9   0  890   0  53  16   0   0   0   0   0   0   0   0
D_Mumpower    19 hun  1 18  9  4 27 652 575 386 791   9   0  890   0   0   0   9   8   8   2   1   0   0   0
E_Voronin     18 ukr  1 18 18  4 11 627 192 363 782   9   0  890   1   0   0  12  15   5   1   2   0   0   0
A_Nycum       18 rus  1 16  7  5  9 508 495 208 106   9   0  763   0   0   0   6   4   4   1   1   0   0   0
F_Kuzara      19 swi  1 16  8  2 12 652 426 334 716   9   0  803   0   0   0  10   3   1   0   0   0   0   0
L_Turcott     17 nir  1 13  3  9 36 508 779  50 292   2   0  193   0   0   0   1   0   5   1   0   0   0   0
B_Lynn        19 eng  1  6 17  5 14 508 139 723  98   9   0  860   0   0   0   3  14   5   0   1   0   0   0
O_Evely       17 ire  1  4 16  8 19 508 312 823   3   9   0  814   0   0   0   2  10   6   1   3   0   0   0
R_Pushee      16 xxx  1  8 16  3 10 356 859 267 573   3   2  183   0   0   0   3   4   0   0   0   0   0   0
P_Luman       18 ger  1  7 15  5 29 652 405 816 156   9   0  890   0   0   0   1  15   5   0   0   0   0   0
O_Murff       18 xxx  1  6 15  6 25 356 606 824 594   4   0  369   0   0   0   0   5   3   0   0   0   0   0
P_Bylo        17 xxx  1  5 15  6 69 356 479 735 646   4   0  285   0   0   0   4   4   2   1   0   0   0   0
P_Froude      18 xxx  1  3 14  8 20 356 453 723  19   1   1   43   0   0   0   0   0   1   0   0   0   0   0
J_Sudlow      17 swe  1  3 14  7  9 508 233 143 973   3   3   97   0   0   0   0   3   0   0   0   0   0   0
P_Humblet     16 xxx  1  3 13  4  9 356 746 630 922   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Kyniston    16 xxx  1  4 13  4 12 356 991 640 554   3   3  127   0   0   0   3   0   1   0   0   0   0   0
P_Noy         17 nor  1  4 12  7 14 508 437 880 935   3   3  165   0   0   0   0   0   3   0   0   0   0   0
I_Huesmann    19 ger  1  9  5 17 12 652 245  47 169   7   0  599   0   0   0   1   0  15   2   0   3   3   0
F_Luziardi    18 ita  1  8 13 16  8 508 327 251 645   9   0  890   2   0   0   7   3  33   4   1   0   0   0
