Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Anzai       25 jap 24  2  2  2 27 427 166 110 110  14   0 1329   0 108  38   0   0   0   0   0   0   0   0
P_Veldhuizen  30 hol 21  2  2  2 15 502 660 638 636   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Typpo       20 usa 20  1  1  1 10  17 785 785 785   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Guseman     26 bel  1 24  5 19 17 728 287 689  19  14   0 1329   0   0   0  18   5  14   1   1   3   0   0
C_Spall       23 eng  1 23  7 17 50 965 691 619 699  14   0 1329   0   0   0  21   4  17   0   0  12   0   1
A_Matheson    24 sco  2 23  6 14 21  56  95 149 644  13   0 1137   1   0   0  21   6  11   1   0   3   0   0
A_Toyota      24 jap  1 22  7 11 71 983 978 271 113   9   0  852   0   0   0  13   6   6   1   0  18   0   0
D_Raike       32 gre  2 21 16  4 30 777 196  65  96   4   0  379   0   0   0   8   6   0   0   0   0   0   0
Y_Kiyoshi     24 jap  2 21 12  7 31 338 417 623 558   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Tidline     31 AUS  2 14 24  8 25 961 718 790 516  14   0 1250   2   0   0  11  26  10   2   2   3   0   0
H_Pedrin      26 rus  2  8 24 14 43 236 166 451 337  13   0  953   1   0   0   2  33   5   1   2   3   0   0
K_Shinohara   21 jap  1 19 24 20 16 941 148 872 478  14   0 1329   0   0   0   4  32  17   0   3   3   0   0
L_Hartopp     28 wal  2  8 24  4 72 431 758 201 988  12   8  707   0   0   0   0  17   2   0   2   0   0   0
H_Ulery       26 ire  2 11 23  7 46 649 296 530 904   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Pytel       23 aus  1 15 22  6 20 731 534 622 138   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Gullit      22 hol  1 10 22 14 35 563 950 601 926   1   1   32   0   0   0   0   4   0   0   0   0   0   0
P_Bead        25 wal  2  7 21 14 51 110 208 939 492   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Algee       26 saf  2  9 21 14 17 328 913  36 533   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Vredenburg  25 aut  1 19 20  2 23 665 233 847 666   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Free        22 nzl  1 14 10 25 22 365 629 875 466  14   0 1329   0   0   0   4  10  42   3   1   0   0   0
O_Mygod       24 bel  1 13 10 23 39 563 873 150 512  14   0 1329   0   0   0   3   8  33   6   0   6   0   0
Tycho_Brahe   22 hol  1 21 18 24 23 779 316 911   2  13   0 1236   1   0   0   9  19  30   4   0   3   0   0
I_Lupo        23 spa  1  8 15 22 14 731 912 388 965   8   8   99   0   0   0   0   0   3   0   0   0   0   0
N_Nedovic     23 cze  1  4 20 21 10 857 401 491 364   0   0    0   0   0   0   0   0   0   0   0   0   0   0
