Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Zubizarreta 30 aus 26  1  1  1 14 436 812 704 704  15   0 1422   0  65  14   0   0   0   0   0   0   0   0
U_Sturdy      28 aus 23  2  2  2 38 549 413 305 305   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Marvel      25 usa 23  2  2  2 50 466 501 393 393   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Athelstan     34 AUS  1 27 16 18 33 388 215  54  44  14   0 1291   1   0   0  17  10  18   1   0   0   0   0
A_Fagina      27 aus  2 27 17 15 16 249 678 808  50  15   0 1422   3   0   0  27   6  11   1   0   0   0   0
Komodo64      28 ind  1 26 18 10 14 874 990 486 883  15   0 1368   0   0   0  13  15   7   1   1   3   0   0
Scarface      23 usa  2 25 22 18 22 129 308 104 930  14   0 1327   1   0   0  13  13  16   2   4   2   0   0
S_Alan        29 sco  2 24 16 19 23 570 465 799 967   5   3  280   0   0   0   0   3   1   0   0   0   0   0
X_Maugeri     25 por  2 23 20  9 31 199 909 751 448   6   4  274   0   0   0   3   1   0   0   0   0   0   0
C_Bronson     23 eng  2 23 12  8 12  55 358 700 328   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Hasek       27 den  2 22 18  7  9 560 310 352 587   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Maugridge   26 can  2 21  7 14 25 661 733 542 111   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Half_Sack     20 aus  1 20 10  6  5 881 734 273  67   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Sousa         29 uru  2 18 26 13 13 864 536 828 503  15   0 1422   1   0   0   3  28   8   2   5   5   0   0
M_Gibson      25 aus  2 10 26 23 39 537 294 101 966  15   0 1422   2   0   0   5  23  22   1   3   6   0   0
Sammy_TheBull 28 usa  2 24 25  8 34 393 251 926 763  13   0 1193   2   0   0  10  25   6   2   4   0   0   0
Patman        24 aus  2 13 24 20 29 273 626 339 934  15   0 1296   0   0   0   1  20  13   4   1   3   0   0
K_Florian     22 aus  1 12 23  9 57 676 265 699 996   5   5  126   0   0   0   0   0   1   0   0   0   0   0
B_Thackrah    25 ire  2 18 20 18 39 539 742 322 147   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Jax_Teller    27 aus  1  1 16 28  8 486 661 839 649  15   0 1370   2   0   0   0  11  38   9   0   0   0   0
Zangief       26 aus  1  7 11 27 29 570 659  49 218  15   0 1335   0   0   0   2   4  35   7   0  12   0   1
P_Ken         23 jap  2  8 21 23 27 195 701 496 418   3   3   94   0   0   0   0   1   0   0   0   0   0   0
