Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Eustice     19 eng 20  1  1  1 26 938 730 730 730  17   0 1643   0 101  30   0   0   0   0   0   0   0   0
J_Husok       18 eng 17  1  1  1 30 711 545 545 545   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Burkins     19 den  1 19  5  7  8 708 281 149 638  17   0 1602   1   0   0  22   3  11   1   0   3   0   0
X_Sundelin    19 ger  1 19 13  4 32 622 126 988 245  16   0 1551   1   0   0  22   9   6   1   1   6   0   0
The_Imp       18 aus  1 18 14 12 31 545 710 411 372  14   0 1284   0   0   0   7  13  12   1   1   3   0   0
J_Snow        19 aus  1 18  3  7 16 545 788 638 660  12   1 1106   1   0   0  16   6   7   0   0   0   0   0
T-Bag         18 aus  1 18  6 12 19 671 249 174 793  14   0 1274   1   0   0  17   3  14   1   0   0   1   0
P_Chapman     17 aus  1 16  6  2 40 412  14 357 622   1   1   76   0   0   0   0   0   0   0   0   0   0   0
R_Stark       19 AUS  1  6 19  5 21 545 260 492 591  17   0 1643   1   0   0   5  29  10   1   5   3   0   0
D_Diaz        18 aus  1  8 18  4 24 412 500 483 752  16   1 1470   1   0   0   6  20   8   2   3   6   0   0
O_Radacanu    18 rom  1  3 18 11 33 622 840 259 258  17   0 1577   1   0   0   1  30  13   1   2   6   0   0
A_Vause       18 aus  1  1 18  9 26 412 638 181 185  17   0 1643   0   0   0   0  30  16   1   0   0   0   0
S_Stirbei     18 rom  1  7 16  3 27 545 361 476 248   1   1   66   0   0   0   0   2   0   0   0   0   0   0
W_Unser       19 aus  1  6 16  4 14 545 139 296 233   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Taystee       18 aus  1  5 16  3 25 412  47 170 672   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Bloom       18 aus  1  3 16  6 18 412 773 139  66   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Mormont     17 aus  1  4 15 10 12 545 381 142 281   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Stark       19 aus  1  7  5 18 10 545 146 817 854  17   0 1643   2   0   0   3   3  44   8   0   0   0   0
Khal_Drogo    17 aus  1  3 14 17 20 556 310 811 879  17   0 1591   0   0   0   0  11  31   1   2   6   0   0
P_Baelish     18 aus  1  5  9 16 32 545 670 274 226   1   1   52   0   0   0   0   0   2   0   0   0   0   0
Crazy_Eyes    16 aus  1  1 11 15 20 412 673 604  18   0   0    0   0   0   0   0   0   0   0   0   0   0   0
