Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
G_Stopper     28 mex 26  2  2  2 37 666 301 301 301   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Elisha_Scott  22 nir 25  1  1  1 21  35 932 932 932   5   0  475   0  24   4   0   0   0   0   0   0   0   0
Sepp_Maier    23 ger 23  1  1  1 34 775 950 950 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Mandragoran   29 mal  2 26 15 13 30 427 556 276 225   5   0  475   0   0   0   6   3   4   0   0   0   0   0
H_Brubaker    28 usa  2 25 13  6 16 753 344 781 783   1   1    1   0   0   0   0   0   0   0   0   0   0   0
R_Gobert      28 usa  1 24 11 11 43 886 207 223 126   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Davide        23 fra  2 24  8 13 13 157  31 329 775   5   0  475   1   0   0   7   3   3   1   0   0   0   0
T_Lurvey      24 usa  1 23 15  4 14 791 811 411 235   5   0  475   0   0   0   5   3   1   0   0   0   0   0
Ethan         22 bra  1 23 18 14 18 964 371 827 181   5   0  474   0   0   0   3   4   6   1   0   0   0   0
N_Alcott      23 eng  2 22 11  5 10  31 817 474 539   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Shukokai      21 jap  2 21 11  7 42  31 271 707 614   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Kempa       22 eng  1 20  9  6 21 886 983 113 101   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Jurrens     20 swe  1 20  5 10 22 768 305 350 162   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Ze_Eduardo    28 bra  2  3 25 15 29 463 920 818 817   1   1   69   0   0   0   0   2   0   0   0   0   0   0
Conchobar     25 ire  2 19 24  6 31 305 936 566 672   5   0  406   0   0   0   3   9   3   0   0   0   0   0
Firestorm     26 swe  2 11 24 18 33 265 860 511 114   5   0  475   1   0   0   4   7   3   0   1   0   0   0
DeGothia      25 swe  2 14 23 20 28 233 711 815 809   5   0  475   0   0   0   3  12  12   2   0   3   0   0
G_Kendrick    24 sco  2  5 23 17 27 271 480 709 892   3   1  223   0   0   0   0   3   5   2   2   3   0   0
Tete_Dure     22 usa  2  9 23 18 36  31 264 604 804   3   0  252   0   0   0   0   2   3   0   0   3   0   0
Seiunchin     22 jap  1  7 22 15 36 886 591 794 400   1   1   31   1   0   0   0   2   1   1   0   0   0   0
W_Yarney      23 can  2  6 21 11  8 290 455 670 375   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Cyr           22 usa  2 10 21  7 31  31 371 449 351   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Z_Drako       27 swe  2  7  3 25 24 175 859 782 509   5   0  444   0   0   0   1   0  11   0   0   0   0   0
U_Bolt        26 jam  2 12 16 24 26 383  15 143 966   5   0  475   0   0   0   1   5  13   1   1   0   0   0
Daniel        22 uru  2 13  7 22  8 171 460 397 276   0   0    0   0   0   0   0   0   0   0   0   0   0   0
