Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Safay_al_Din  32 isr 27  2  2  2 34 207 758 722 681  14   0 1251   0  90  24   0   0   0   0   0   0   0   0
F_Hastie      27 sco 25  2  2  2  8 906 414 414 414   2   1  169   0   4   5   0   0   0   0   0   0   0   0
F_Sedaborus   27 bol 20  2  2  2 16 288 435 435 435   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Okerstrom   29 nor  2 27  6 13  7 966 519 856 182  15   0 1420   2   0   0  29   2  12   2   1   0   0   0
O_Maul        25 fra  2 25  6 13 30 291 850 705 212  15   0 1420   2   0   0  20   3   9   2   0   3   0   0
R_Cavendar    28 sco  2 24  6 12 57 861 108 406 212   3   0  284   0   0   0   2   0   2   0   0   0   0   0
S_Reisse      32 HOL  3 23 17  4  9 182 172 134 551  15   0 1420   2   0   0  29  12   7   1   0   0   0   0
Salah_ad_Din  23 irq  1 23 19  7 30 536 691 489 914  13   0  969   0   0   0   9   5   3   0   0   3   0   0
G_Theobald    26 wal  2 21  8  6 55 327 416 260 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Pawuk       24 ivo  2 21 20 15 15 165 290 275 819   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Swilley     21 eng  1 21  7  6 32 725  85 563 787   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Huntoon     27 eng  1 13 26  7  9 510 998 915 657  15   0 1420   0   0   0   5  30   8   3   2   0   0   0
J_Roche       25 eng  2  7 25 21 57 273 628 706 248  14   0 1303   1   0   0   5  17  24   1   3  19   0   0
R_Felisky     27 rus  2 12 25  6 17 413 908 920 256  15   0 1420   0   0   0   5  39   7   0   2   3   0   0
H_Tomozuka    24 jap  2 19 24 10 17 300 292 411 715  15   0 1420   0   0   0   6  32  11   0   4   3   0   0
R_Alfers      30 ire  2  7 21  5 11 575 477 634 420   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Ilges       23 arg  2 13 21  7 15  75 790 187 623   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Dziedzicki  20 ser  1 10 19  4 68 749 475 933 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Guido       20 por  1 12 18  5 10 875 651 593 225   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Penegar     24 wal  2  9 20 23  9 147 109 333 923  15   0 1420   0   0   0   3  11  38   2   1   0   0   0
B_Wig         22 eng  1 11 18 23 14 804 698 887 108  14   0 1285   1   0   0   5  10  30   5   0   3   1   0
A_Maud        29 sco  2 11  4 21 23 863  37 672 563   9   8  398   0   0   0   2   2  12   3   0   0   0   0
