Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Tutay       18 xxx 17  1  1  1 34 980 350 350 350  11   0 1046   0  62  15   0   0   0   0   0   6   0   0
S_Ivey        19 ire 16  1  1  1 51 415 595 595 595   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Worfolk     19 ger  1 16  9  5 36 595 886 171 736  10   0  863   1   0   0  11   8   5   0   0  13   0   0
Q_Iuliano     19 ita  1 16  5 12 27 721 872 339 930  11   0 1006   0   0   0  17   2  18   2   0   3   0   0
G_Mugliett    18 xxx  1 16  9  5 31 350 906 810 530   8   0  690   0   0   0   9   4  13   1   0  20   0   0
M_Burchette   18 ger  1 16  4  3 55 476 450 947 224   3   2  159   0   0   0   1   1   1   0   0   0   0   0
O_Burgin      17 swe  1 16 15 14 17 476 243  26 361   8   0  734   1   0   0   9   8  11   1   1   3   0   0
H_Huering     19 den  1 15  5 11 19 476 954 330 932   8   0  762   0   0   0   8   6   7   1   0   0   0   0
Q_Gwyn        18 xxx  1 15  1  4 17 350 796 642 892   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Bulmer      18 xxx  1 15  5 11 12 350 735 548 223   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Furnifer    18 ger  1 15  4 14 66 605 125 189 167   5   0  477   1   0   0   9   2   3   0   0   3   0   0
P_Luttman     18 nor  1 14  7  8 25 476 942 174 632   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Puder       19 aus  1  5 17 10 13 721 484 810 192  11   0 1046   0   0   0   2  25  11   2   1   0   0   0
P_Cutlip      19 bel  1  5 17  2 16 476 999 288  44  11   0 1046   0   0   0   4  31   1   0   4   3   0   0
S_Rugilo      18 swe  1  4 16  7 44 476 442 690 843   9   0  777   0   0   0   1  20   4   0   1  20   0   2
C_Cutrell     17 xxx  1  4 16 15 44 350 430  10  61  11   0 1046   1   0   0   1  17  22   3   1   3   0   0
K_Buhler      16 xxx  1  7 13 10 10 350 663 963  72   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Nuvaerende  19 ger  1  4 17 18 14 595  56 182 610  11   0 1046   1   0   0   2  11  30   5   1   3   0   0
W_Ypes        18 xxx  1  6  3 16 13 350  84 847 786   6   0  569   1   0   0   0   1  17   3   1   0   0   0
T_Overton     17 col  1  4  3 13 15 476 849 148 845   0   0    0   0   0   0   0   0   0   0   0   0   0   0
