Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Sundin      19 eng 20  1  1  1 10 842 304 304 304   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Pippi       16 ita 17  1  1  1 26  62 332 332 332   9   0  857   0  47  17   0   0   0   0   0   0   0   0
I_Durand      18 eng 13  1  1  1 13 629 460 460 460   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Quivey      19 ire  1 19  7  6 20 603 153 354  90   9   0  857   0   0   0  18   5   5   0   1   0   0   0
B_Bellic      18 aus  1 16  3  6 33 602 916 974 909   9   0  857   0   0   0  13   3   8   0   0   0   0   0
P_Turgeon     17 ire  1 16 10  8 24 332 951 687 865   8   0  710   1   0   0  16   2   5   0   0  10   0   0
D_Synatzske   19 pol  1 16  4  7 30 476 349  68 778   8   0  735   0   0   0  13   4   6   0   0   0   0   0
B_Wymese      19 fra  1 15  6  5 16 532 272 600 607   2   0  188   0   0   0   2   1   0   0   1   3   0   0
D_Guttromson  18 swe  1 14  2  6 23 332 771 675 684   1   1   26   0   0   0   0   0   0   0   0   0   0   0
Y_Youtsey     17 eng  1 13  9  6 49 476 763 984  11   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Dusek       17 eng  1  5 16  7 19 476  55 359 794   9   0  857   0   0   0   2  15   4   0   2   3   0   0
F_Burres      17 eng  1  7 16 10 32 476 697 281 860   3   0  277   0   0   0   3   2   4   1   0   0   0   0
M_Hutman      17 eng  1  5 16 11 25 476 527 332  91   8   0  730   0   0   0   2  15  12   2   1   3   0   0
H_Styles      19 eng  1  5 15  3 17 476 130 893  70   8   0  690   0   0   0   3   9   2   0   0   3   0   0
J_Auge        18 nor  1  3 15  4 16 332 519 976 199   5   0  452   0   0   0   0   7   1   0   0   0   0   0
M_Human       18 ger  1  5 15  7 16 332 712 654 670   9   2  720   0   0   0   2  12   3   0   0   0   0   0
U_Sustaita    18 chi  1  4 14  4 53 332 863 606 381   1   1   14   0   0   0   0   0   0   0   0   0   0   0
M_Burletick   17 eng  1  5 12  4 14 476 247 882 514   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Wuerstle    16 bel  1  5 12 11  9 332 443 796 416   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Aylesbury   19 ger  1  5  6 17 32 595 810 864 289   6   1  476   2   0   0   0   1  17   5   0   0   0   0
N_Turner      19 eng  1  5  9 17 12 756 634 950 149   9   0  819   0   0   0   4   3  24   2   0   0   0   0
H_Mumpower    17 eng  1  5 10 14 12 476   9 185 231   2   2  107   0   0   0   0   1   3   0   0   0   0   0
