Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Da_Silva    27 uru 30  2  2  2 33   1 565 565 565  23   0 2185   1 137  28   0   0   0   0   0   0   0   0
J_Vestergaard 28 den 27  1  1  1 34 320 520 620 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Player_1      19 xxx  1  1  1  1 50 692 524 524 524   1   1   84   0   0   0   0   0   0   0   0   0   0   0
Player_2      19 xxx  1  1  1  1 50 692 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Player_3      19 xxx  1  1  1  1 50 692 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0
SUB           22 bra  1  1  1  1 41 996 916 460 121   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Franz_Bauer   29 ger  2 28 23  9 22 793  40  15 699  23   0 2185   3   0   0  22  23  15   2   3   9   0   0
D_Bradman     29 aus  2 27 21  9 26 603 685 509 545  22   0 1980   0   0   0  29  17  13   0   1  16   0   0
D_da_Guia     28 bra  2 27 21 16 40 853   8 264 465  22   0 2081   0   0   0  32  16  30   1   0  14   0   0
E_Beregovoi   25 rus  2 25 22 17 10 295 344 757 194  16   0 1495   2   0   0  21  13  18   4   0   3   0   0
Dede          25 bra  2 24 20  9 16  27 212 811 570  11   6  682   0   0   0   5   1   3   0   0   3   0   0
Y_Djorkaeff   28 fra  2  4 28 21  5 824 997  47 216  23   0 2185   1   0   0   2  50  26   1   7   6   0   0
C_Ruddy       28 eng  2  9 26 22 18 518 177 466 879  23   0 2185   0   0   0   8  33  22   8   1   8   0   0
T_Regen       25 ire  2 23 25  8 25 619 878 885 562  22   0 1954   1   0   0  21  33  10   0   3  10   0   0
E_Francescoli 26 uru  2  9 25 22 32 637  37 614 138  18   2 1547   1   0   0   8  36  15   2   1   3   0   0
Y_Dehoyos     22 far  1  4 25 23 29 984 556 359 953  18   5 1314   1   0   0   3  22  19   1   2  17   3   0
J_Enriquez    23 mex  2 14 22  7 18 105 261  27 507   2   1  148   0   0   0   0   2   2   0   1   0   0   0
Romario       28 bra  2 19  8 29 10 461 564 308 569  18   0 1496   1   0   0  10   6  56   7   0   3   1   0
S_Fujisaki    26 jap  2  6 18 28 24 133 573   7 805  19   0 1557   0   0   0   4  13  49   6   0   2   3   0
Bebeto        27 bra  1 10 12 27 22 420 534 627 542  10   5  648   0   0   0   1   1  22   2   0   3   0   0
Marcos_Junior 22 bra  1 13  9 22 41 996 932 469 158   3   1  208   0   0   0   1   1   4   1   0   0   0   0
