Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Johansson   19 swe 19  1  1  1 21 189 349 349 349   8   0  782   0  29   3   0   0   0   0   0   0   0   0
AJ_Ochoa      19 mex 18  1  1  1 29 353 589 589 589   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Tutrow      17 xxx 14  1  1  1 52 627 349 349 349   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Rodriguez   19 arg  1 20 18 11 20 409 629 557 376   8   0  782   2   0   0  10  14  13   2   4   0   0   0
P_Bullough    19 ire  1 19 12  7 20 789 500  17 453   8   0  782   1   0   0  15   7   5   0   0   0   0   0
Juan_Aguirre  19 arg  1 19 13 14 14 789 123 848 482   8   0  782   2   0   0  13   6  12   0   2   0   0   0
Carlos_Ruiz   19 arg  1 18 15  7 37 732 639 361 479   8   0  782   1   0   0   3   6   6   0   1   0   0   0
C_Durno       19 arg  1 18  8  7 12 645 625 288  72   5   5  219   0   0   0   3   0   3   0   0   0   0   0
B_Mylchreest  17 nor  1 15  9  4 28 501 899 821  96   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Tyrone_Peters 19 eng  1 16 18  4 35 735 745 929 248   8   0  782   0   0   0   7  21   3   1   0   3   0   0
M_Cuchine     19 ire  1  6 18  3 11 612 564 407 604   8   0  782   0   0   0   0  16   2   0   1   0   0   0
Q_Eyster      19 ger  1 11 18  4  8 645  82 264 952   8   0  704   0   0   0   5  11   4   1   1   0   0   0
C_Lumpkin     19 swe  1  5 16  3 21 501 812 733  34   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Custard     18 ire  1  4 16 10 13 501 322 715 414   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Butenko     16 xxx  1  2 16  5 21 349 528  80 685   8   0  641   0   0   0   4  12   7   0   0   0   0   0
Y_Turro       17 xxx  1  4 15  5 17 349 907 563 567   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Kutner      16 xxx  1  5 14  6 24 349 367 677 698   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Sugg        19 ENG  1  9  4 18 18 645 490 669  23   8   0  782   0   0   0   2   3  26   5   0   0   0   0
H_Kuwate      19 jap  1 11  4 17 11 693 127 246 661   8   0  782   1   0   0   4   0  28   5   0   0   0   0
