Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Gunder      18 xxx 16  1  1  1 45 789 335 335 335   9   0  892   0  38  10   0   0   0   0   0   0   0   0
A_Cruden      18 hol 15  1  1  1 28 892 557 557 557   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Swim        18 bel 15  1  1  1 14 681 449 449 449   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Czagany     18 pol 14  1  1  1 13 679 449 449 449   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Kyzar       17 xxx 14  1  1  1 11 540 335 335 335   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Kuzy        19 hol  1 18  7  3 14 557 299  80 617   9   0  892   0   0   0   5   5   3   1   1   0   0   0
F_Wrighten    18 ire  1 17  6  5 29 449 466 421  85   9   0  892   1   0   0  12   3   5   0   1   6   0   0
H_Bunkin      17 xxx  1 16  6  7 34 335 883 685 986   9   0  892   1   0   0  12   3   8   1   0   0   0   0
G_Cunning     18 hol  1 16  5  4 41 557  89 866 843   9   0  867   1   0   0  12   4   2   0   0   3   4   0
H_Humberd     18 den  1 14  7  4 27 449 855 772 621   1   1   25   0   0   0   0   0   0   0   0   0   0   0
N_Burkholder  18 xxx  1 14  5  5 34 335 758 568 574   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Overbaugh   16 xxx  1 14  5  3 12 335  30 770 401   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Surritte    17 rus  1 13  5  2 44 449 721 696 931   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Swor        19 nol  1 12 18  7 21 557 242 145 699   9   0  892   1   0   0   6  24   3   0   2   0   0   0
G_Runthal     19 nor  1 14 17 10 15 449 739 849 366   9   0  892   0   0   0   4   9  14   1   1   3   0   0
H_Zweig       19 ger  1  8 17 11 28 449 113 738 125   9   0  892   0   0   0   1  10   7   1   0   3   0   0
X_Culhane     18 xxx  1  3 16  3  8 335 671 145 585   9   0  892   1   0   0   1  15   2   0   2   0   0   0
M_Muckleston  16 xxx  1  3 14  4  8 335 369  48 787   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Guerena     19 hol  1 14 10 17 57 557 156 960  90   9   0  892   1   0   0   5   3  28   5   0   6   0   0
F_Gunkel      17 xxx  1  3  5 16 36 335 649 559 750   9   0  892   0   0   0   0   2  21   0   0   0   0   0
