Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
G_Stopper     28 mex 26  2  2  2 37 789 346 346 346   5   0  474   0  18   7   0   0   0   0   0   0   0   0
B_Sefton      23 sco 21  2  2  2 14 127 105 105 105   9   0  890   0  23  12   0   0   0   0   0   0   0   0
R_Prussak     21 cze 20  1  1  1 14 476 819 819 819   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Sents       31 por  2 23 16  9 22 868 896 573 155   9   0  748   0   0   0   8   5   9   3   0  13   0   0
K_Hartell     24 eng  2 22 10 19 37 223 299 878 156  13   0 1085   2   0   0  12   8  17   2   1  10   0   0
L_Aldai       22 isr  1 22  8 19 21 810 924  72 630  12   2  905   0   0   0   9   2  14   1   0   3   0   0
H_Kazuyoshi   20 jap  1 21 11 20 31 938 646 826 406  14   0 1364   2   0   0  19  11  28   5   2   3   0   0
L_Tenant      22 aus  2 20 16  6 19 177 642 805 559   6   0  465   0   0   0   3   3   1   0   0   0   0   0
N_Culling     20 wal  1 18 13 11 16 781 882 793 873   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Begbie      26 sco  2 18 24  7 14 103 757 778 702  14   0 1364   1   0   0  11  29   6   0   2   0   0   0
S_Gehring     28 ger  2 20 24 11 26 198 995 292 757  12   0 1156   2   0   0   9  25  11   3   0  13   0   1
E_Jones       26 eng  2 10 24 14 21 249  33 237 821  14   0 1318   1   0   0   7  27  13   3   2   3   0   0
Babybinho     23 bra  2  5 23 20 10 243 476 495 196  14   1 1189   0   0   0   0  24  29   1   3   3   0   0
Campbundo     22 bra  1 16 21 13  8 900 897 984 711  14   0 1102   0   0   0   2  15   8   2   1   0   0   0
V_Swabenthal  22 saf  1 17 21  5 11 840 816  98 719   6   2  383   0   0   0   2  11   1   0   3   0   0   0
K_Peacham     28 ire  2 17 20  8 60 585 868 869 701   9   7  447   0   0   0   3   7   2   2   2   0   0   0
W_Kelsen      29 wal  2 16 20 12 42 587 982 616 203   7   6  245   0   0   0   3   4   3   0   0   0   0   0
C_Massanet    23 den  2  5 19 19 20  89 224 530 885   4   0  310   0   0   0   0   3   8   1   0   0   0   0
B_Davies      31 ENG  1 16  3 25 18 834 703 438 484  11   5  519   0   0   0   0   2  13   1   1   0   0   0
Q_Gehrken     26 isr  2 15  8 23 47 639 462 879 304   9   9  317   0   0   0   2   1  14   1   1   0   0   0
M_DeFree      22 fra  1 19  9 22 46 786  33  35  29   8   4  349   0   0   0   3   1  12   1   0   3   0   0
Hugo_Snatch   20 spa  1 17  9 18 17 738 172 895 512   0   0    0   0   0   0   0   0   0   0   0   0   0   0
