Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
I_Galca       18 rom 16  1  1  1 30 751 354 354 354   9   0  820   0  28  12   0   0   0   0   0   0   0   0
D_Goldis      18 rom 14  1  1  1 14 797 564 564 564   3   1  227   0   9   3   0   0   0   0   0   0   0   0
E_Gheorghe    18 rom  1 16 10  4 18 354 713   9  17   6   0  436   0   0   0   3   5   2   1   0   3   0   0
M_Petri       19 rom  1 16  9 16  7 564 303 338 697  11   0 1039   0   0   0   9   6  24   1   0   0   0   0
T_Niculaie    18 rom  1 16 11  6  7 564 159 175 647  11   0 1047   0   0   0   7  10   7   0   1   0   0   0
G_Stoica      18 rom  1 15  2  7 35 354 685 490 707   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Ilie        17 rom  1 15  5  4 18 462 501 327 108   4   4  136   0   0   0   1   0   1   0   0   3   0   0
C_Filipescu   18 rom  1 15  8  6 40 558 193 764 518  11   6  456   0   0   0   5   5   2   0   1   3   0   0
N_Teodorescu  17 rom  1 13  7  4 34 462 802 987 529   2   2   37   0   0   0   1   0   0   0   0   0   0   0
P_Muresanu    19 rom  1  6 17 15 28 564 628 168 275  11   0 1047   1   0   0   1  18  29   2   2   0   0   0
J_Byrn        19 sco  1 10 16  5 25 664 277 949 602   7   0  660   0   0   0   5   7   3   0   2   3   0   0
C_Ganea       17 rom  1 14 15  6 16 462 558 158 146  11   0 1047   0   0   0  14   8   9   0   0   0   0   0
T_Kucek       18 rom  1 14 15  8 55 564 765 487 615  11   0 1047   0   0   0  14  13  11   1   0   3   0   0
J_Pavlenco    17 rom  1  6 15  2  9 354 948 834 590  11   7  677   0   0   0   1   8   5   1   0   0   0   0
D_Vasiliu     18 rom  1 11 15  7 10 564 336 301 937  10   0  894   1   0   0   7  11   7   0   1   0   0   0
T_Balescu     16 rom  1  3 15  5  8 354  90  41  72  11   0  691   0   0   0   0   6   4   1   1   0   0   0
V_Baicu       16 rom  1  3 13  9 45 354 781 756 750   9   3  458   0   0   0   0   3   9   3   1   3   0   0
N_Bumbescu    17 rom  1  9  3 15 38 462 290  91 788   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Caragiale   16 rom  1  4 12 15 15 354 970 720 768  11   5  767   1   0   0   0   3  24   2   2   0   0   0
C_Minea       17 rom  1  5  9 12  9 462 978 223 818   1   1   27   0   0   0   0   0   1   0   0   0   0   0
