Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Gyle        18 usa 18  1  1  1 17 857 629 629 629   6   1  552   0  37   0   0   0   0   0   0   0   0   0
P_Lunz        16 aus 17  1  1  1 48 658 377 377 377   7   0  578   0  21   8   0   0   0   0   0   0   0   0
Y_Sussmann    18 aut 16  1  1  1 28  68 503 503 503   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Burrows     19 xxx  1 20 12  2 25 328 663 451 280   4   0  325   0   0   0   4   0   0   0   0   3   0   0
Le_Tex        19 fra  1 19  9  5 50 737 350 223 582  11   0  998   0   0   0  11   8   8   0   0  13   0   0
P_Gurevich    19 rus  1 19 17  4 17 629 333 871 235  12   0 1130   0   0   0  20  17   2   0   1   3   0   0
C_Dundas      19 sco  1 18 17  9 48 629 382 719 268  12   0 1101   2   0   0  19  15   8   0   2   9   0   0
X_Cullie      19 sco  1 17 16 12 19 503 194 245 586  12   6  729   1   0   0   9  11   9   0   2   6   0   0
L_Worner      18 xxx  1 16  8  6 61 377 849 914 809   3   2  126   0   0   0   2   0   3   1   0   0   0   0
V_Busuttil    18 xxx  1 16  2  4 13 377 829 486 819   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Humeston    17 xxx  1 16  3  2 11 377 983 808 787   6   1  359   0   0   0   8   1   0   0   0   3   0   0
H_Gushlaw     17 xxx  1 16  4  8 10 377  99 480 983   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Huyter      17 ned  1 16  5  7 51 503  65 269  18   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Dziomba     18 ken  1 15 10  4 12 503 964 139 137   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Auren       17 xxx  1 15 12  6  8 377 995 817 210   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Lycan       16 xxx  1 14  3  4 21 377 895 479 865   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Ludden      19 eng  1 11 19 10  8 737 723 871 674  11   0  977   0   0   0   5  18  15   1   1  10   0   0
Q_Huhlein     17 den  1  5 16  4 14 503 309 881 397  11   0  985   0   0   0   2  19   2   1   1  10   0   0
O_Culley      17 ire  1  5 16  5 48 503 948 527 146  12   0 1118   1   0   0   3  20   5   1   1   6   0   0
F_Overly      17 aus  1  5 16  7 11 503 339 130 133  11   0  951   0   0   0   0  12   4   0   1   0   0   0
R_Nutt        18 xxx  1  7 14  9 16 377 768 806 800   8   8   96   0   0   0   0   1   0   0   0   0   0   0
M_Burtnett    19 can  1  7  9 17 19 677 594 518 931  11   0 1026   0   0   0   3   5  31   2   2  13   0   0
X_Hujber      18 swi  1  7  5 17 62 537 110 185 196   9   0  842   1   0   0   0   1  29   6   0  16   0   0
T_Mulrooney   18 xxx  1  3  5 17 46 377 961 884 123   4   0  372   0   0   0   1   1   4   2   0   3   0   0
S_Frydrych    17 swi  1  8  4 16 13 503 950 638  82   0   0    0   0   0   0   0   0   0   0   0   0   0   0
