Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
V_McCarron    31 ire 25  3  3  3 48 139  50  50  50  12   0 1065   0  62  20   0   0   0   0   0   3   0   0
L_Sealey      23 aus 24  1  1  1 16 569 741 741 741   6   1  552   0  41  20   0   0   0   0   0   0   0   0
Paddy_G       26 ire 22  1  1  1 21 214 887 887 887   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Tysoe       21 mlt 21  1  1  1 35 932 862 862 862   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Syce        20 mlt 19  1  1  1 29 610 530 530 530   0   0    0   0   0   0   0   0   0   0   0   0   0   0
TJ_Galiardi   27 ita  2 24  5 14 17 629 933 877 469  12   0 1140   1   0   0  15   1   7   1   0   6   0   0
O_Germani     26 ita  2 23  8 12 23  12 780 266 260  12   0 1140   0   0   0  11   3   5   0   0   0   0   0
W_Clyburn     26 ire  1 23 14 10 14 723 498 272 953  13   0 1236   0   0   0   8   8  13   1   0   3   0   0
P_Genisi      25 cam  2 22 14  4 36 368 334 805 483  13   0 1169   0   0   0  10   7   1   0   0   6   0   0
J_Hung_Lowe   22 aus  1 22  5 11 12 993 155 774 328   1   1   67   0   0   0   4   1   0   0   0   0   0   0
K_Swap        21 mlt  1 22 10  7 15 862 314 856 759   5   0  477   0   0   0  10   1   1   0   1   3   0   0
Tico          21 bra  1 22 19  8 37 831 187 453 355   4   0  381   1   0   0   9   3   0   0   1   0   0   0
H_Guzik       21 mlt  1 21 17  8  9 862 690 343 601   5   0  477   0   0   0   4   8   1   0   1   0   0   0
M_Putt        21 mlt  1 21 11  8 10 862 531 516 650   4   0  349   0   0   0   8   4   2   0   0   0   0   0
M_Kusch       20 hol  1 18  6 13 37 638 819 586 387   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Kelter      28 bel  2 15 24 14 28 252 433 439 313  12   1  962   1   0   0   1  11   5   1   1  26   0   0
I_Degenstein  27 hol  2  9 23 19 20 246 635 964 354  13   0 1236   0   0   0   2  19  11   2   1   0   0   0
AJ_Maradona   24 arg  1 12 23 21 10 825  50 579 589  13   0 1239   0   0   0   3  27  23   1   1   0   0   0
L_Lathery     25 ire  1 21 23  4 14 885 342 140 325  14   0 1201   0   0   0   9  19   3   0   0  13   0   0
S_Aldorino    29 ita  2 14 22  6 12 679 451 293 258   6   0  567   0   0   0   4  10   3   0   0   3   0   0
M_Matchell    30 eng  2 14 21  4 14 665 787  43 568   3   1  256   0   0   0   2   4   1   0   0   0   0   0
Y_Symonette   22 mlt  1 13 21  5 16 867 215 535 352   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Dusebout    21 mlt  1  7 21 12 78 862 591 796 906   4   0  381   0   0   0   1   5   1   0   0   0   0   0
P_Galway      22 ire  1  8 20 15 20 975 933 429  76   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Burnaine    21 usa  1  9 20  6 35 646 796 979 287   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Guntrip     21 mlt  1 17 20  8  9 862 523 537 910   1   0   96   0   0   0   0   0   1   0   0   0   0   0
Y_Tylka       20 swi  1  4 19 13 34 746 269 120 549   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Molotov     28 rus  2  7 12 25 21 421  72 845 384  13   1 1168   0   0   0   0   6  26   2   1   3   0   0
AJ_Riviere    23 fra  1 11 10 23 38 501 865 941 595  13   0 1239   2   0   0   3   5  20   6   1   0   0   0
L_Bearfield   29 can  2 10  6 22 19 333 878 388 700   3   0  282   0   0   0   0   1   5   2   0   3   0   0
Kelly_Fox     25 can  1 21 10 22 40 939 546 610 431   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Mauk        23 ire  2  6 18 22 18   6 704 782 798   5   0  449   0   0   0   1   6  14   2   0   3   0   0
N_Muloin      21 ire  1  5 16 21  5 862 535 209 564   5   0  477   0   0   0   1   3  20   1   0   0   0   0
