Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
N_Purpur      17 xxx 15  1  1  1 32 553 318 318 318   7   0  660   0  37  12   0   0   0   0   0   0   0   0
O_Dymock      18 wal  1 17  5  4 67 418 961 695 605   6   0  525   0   0   0   8   2   1   0   0  19   0   0
X_Cumbee      18 fra  1 17  5  3 17 554 900 641 661   7   0  660   0   0   0   7   0   3   0   0   0   0   0
B_Sturtz      18 ger  1 17  9  4 23 698 230 237 528   7   0  660   0   0   0  10   4   4   0   0   0   0   0
V_Czarnota    17 pol  1 15 11  2 44 418 165 742 867   7   0  660   1   0   0   5   7   2   0   0   3   0   0
L_Gusev       17 rus  1 13  3  6 60 418 759 982 708   1   0   54   0   0   0   1   0   0   0   0  10   0   0
C_Wyno        16 xxx  1 12  2  5 36 318 487 313 554   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Curb        16 xxx  1 12  3 10 45 318 484 757 794   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Nutter      17 xxx  1  7 17  4 50 318 683  22 554   7   0  660   0   0   0   2  11   2   0   1   0   0   0
H_Mross       17 spa  1  6 16  3 18 418  62 374 905   6   0  566   0   0   0   3  15   1   0   1   0   0   0
B_Prousteau   17 rom  1  5 15  3 10 418 673 959 860   6   0  566   0   0   0   2  11   3   1   1   0   0   0
S_Hurm        18 mlt  1  3 15  6 28 503 551 811 879   5   0  395   0   0   0   1   6   5   0   0   0   0   0
W_Wrynn       18 xxx  1  4 15  2 10 318 465 780 789   1   1   75   0   0   0   0   2   0   0   0   0   0   0
C_Fullbrook   17 xxx  1 10 15  7 10 318 549 583 385   2   0  190   0   0   0   2   4   0   0   0   0   0   0
O_Gurkin      17 mlt  1 10 14  4 53 503 168 854 494   1   0   94   0   0   0   0   3   0   0   0   0   0   0
R_Fryett      16 wal  1  8 14  3 12 418 385 751 911   1   0   94   0   0   0   0   1   0   0   1   0   0   0
R_Husk        18 eng  1 13  9 16 12 418 700 153 871   7   0  660   0   0   0   4   4  25   2   0   0   0   0
Y_Swayne      18 mlt  1  4  7 15 14 503 408 819 874   5   0  437   1   0   0   1   2  17   3   0   3   0   0
G_Stussie     18 xxx  1  3  2 15 26 318 516 599 537   2   1  129   0   0   0   0   1   3   0   0   0   0   0
S_Nylin       17 mlt  1  4 10 14 52 503 640 577 624   1   0   94   0   0   0   0   0   2   0   0   0   0   0
