Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
F_Dysart      19 xxx 21  1  1  1 42 332 321 321 321   3   0  288   0   7   2   0   0   0   0   0   0   0   0
N_Wurscher    17 xxx 17  1  1  1 11 851 370 370 370   9   0  884   0  39   9   0   0   0   0   0   0   0   0
Q_Dunsire     17 ire 16  1  1  1 13  15 522 522 522   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Muirfoot    16 xxx 14  1  1  1 70 772 370 370 370   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Rund        19 xxx  1 21  9  3 22 321 429 333 366   3   0  288   0   0   0   3   3   1   0   0   0   0   0
K_Duskin      18 xxx  1 17  8  5 15 370 983 956 809  12   0 1172   3   0   0  14   6   6   0   2   0   0   0
J_Swancutt    18 eng  1 17  4  6 13 514 637 276 129   9   0  848   0   0   0   6   1   4   0   0  13   0   0
X_Prouten     18 xxx  1 16 10  3 19 370 914 854 758  12   0 1131   0   0   0  13   3   6   0   0   3   0   0
F_Ivy         17 xxx  1 16 10 10 38 370 915 800 630  12   0 1172   1   0   0  14   9   9   1   0   3   0   0
Ratboy        19 aus  1 16  3 15 26 773 247 367 460   7   0  649   0   0   0   4   1   9   0   0   0   0   0
W_Zyla        18 ger  1 15  2  7 10 522 925 137  57   2   1  136   0   0   0   0   0   3   0   0   0   0   0
Q_Rupple      17 nir  1 15  5  4 11 522  74 356 321   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Vranizan    16 xxx  1 13 10  2 14 370 231 822 696   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Swinburne   19 ire  1  5 18  9 28 810 479 276 707  12   0 1172   1   0   0   0  32   7   2   1   3   0   0
G_Sturzl      19 ger  1  4 17 14 10 666 167 820 374  12   0 1172   1   0   0   1  18  19   2   3   0   0   0
J_Baratheon   19 aus  1  6 17 12 23 503 659 667  43  12   0 1172   0   0   0   7  25  11   0   1   3   0   0
F_Lush        19 aus  1  5 17  7 21 666  24 262 353   7   0  651   0   0   0   0  12   2   0   1   0   0   0
P_Kumbo       18 xxx  1  2 16  8 12 370 531  39 746   2   2   17   0   0   0   0   0   0   0   0   0   0   0
X_Buys        17 aus  1  5 15  3 21 522 138 939 368   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Swilley     18 wal  1  7  4 16 12 522 473 198  54  10   1  931   0   0   0   1   3  26   3   0   0   0   0
G_Gullatt     17 xxx  1  1  8 15 10 370 682 962 926  12   0 1104   1   0   0   0  10  29   6   1   0   0   0
Q_Dzuba       19 zim  1  7  8 14 36 642 169 456 847   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Okawa       18 jap  1 12  4 14 24 508 426 119 835   2   2   69   0   0   0   0   0   0   0   0   0   0   0
Y_Hufft       16 xxx  1  6  6 13  9 370 445 793 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0
