Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Y_Osako       23 jap 27  2  2  2 31 559 346 346 346  19   0 1803   2  96  20   0   0   0   0   0   0   0   0
H_Sakai       27 jap 26  2  2  2 41  71 112 112 112   1   0   96   0   3   0   0   0   0   0   0   0   0   0
S_Saionji     21 jap 21  1  1  1 14 588 879 879 879   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Hamaguchi   24 jap  2 27 18 11 15 400 452 989 119  16   0 1483   0   0   0  19  11   8   1   0   0   0   0
H_Kashibashi  25 jap  2 27 19  9 15 562 430 218 403  20   0 1899   2   0   0  27  23  10   2   2   6   0   0
K_Wakashu     25 jap  2 25 15 12 24 516 585 963 777  20   0 1899   1   0   0  27  17  14   2   1   3   0   0
Y_Kashiwano   23 jap  2 25 19 10 29 376 545 359  20  18   0 1682   1   0   0  21  15  12   2   1   3   0   0
S_Hirasawa    23 jap  2 22 16 10 67 634 504 294 826   3   3   77   0   0   0   0   0   1   0   0   0   0   0
Y_Dohmoto     21 jap  2 21 14  7 11 184 609 147  15   1   1   11   0   0   0   0   0   0   0   0   0   0   0
H_Tsujimoto   30 jap  1 11 27  3  7 967 422 333  92  16   6 1255   0   0   0   3  24   4   1   3   0   0   0
Y_Kazuyuki    24 jap  2  9 26 22 59 758  87 375 632  17   0 1552   1   0   0   3  25  21   3   1  22   0   0
Y_Yoshizawa   24 jap  2 24 26  7 17 616 207 499 394  20   0 1856   1   0   0  21  36   5   0   2   6   0   0
S_Yoshihiro   26 jap  2 13 26 17 26 588 975   2 765  17   3 1167   0   0   0   2  19  17   2   1  19   0   0
H_Byakkotai   24 jap  2 13 25 20 13 604 539 495 705  16   0 1321   0   0   0   3  25  21   1   2   0   0   0
Y_Hashiuchi   22 jap  1 11 24 20 16 913 164 505  34  10   2  646   0   0   0   1   6   7   2   1   0   0   0
S_Kubozuka    26 jap  2 10 23 15 17 676 995 475   1   4   3  189   1   0   0   3   2   4   2   0   0   0   0
H_Nowosatka   23 jap  2  6 21 15 11 184 967 581 423   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Yamashita   21 jap  1 19 21  7 30 967  64 421 146   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Tomizawa    25 jap  2  8 16 26 20 562 193 964 495  20   0 1561   1   0   0   4   9  51   8   0   6   0   0
T_Matsumoto   26 jap  2  6 23 26 47 822 839 544 609  19   0 1806   2   0   0   3  17  63  12   0   6   0   0
J_Takahata    23 jap  2  8 17 25 40   4 900 910  26  13  12  424   0   0   0   0   5  20   2   1  15   0   0
Y_Ippitsusai  24 jap  2  6 13 23 17  83 152 764 672   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Okazawaya   21 jap  1  4 13 21 13 879 791 228 927   0   0    0   0   0   0   0   0   0   0   0   0   0   0
