Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
K_Bushito     19 jap 19  1  1  1 24 240 476 476 476   3   0  280   0   6   2   0   0   0   0   0   0   0   0
H_Ariwara     19 jap 16  1  1  1 11 613 476 476 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Kaihori     17 jap 16  1  1  1 38 452 324 324 324   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Kishigami   19 jap  1 20 18 10 17 584  63 370 675   2   0  123   0   0   0   0   1   3   1   0   0   0   0
Y_Baisotei    19 jap  1 17 14  8 16 476 917 964 258   3   0  280   0   0   0   3   3   3   0   0   0   0   0
N_Makino      18 jap  1 17 12  6 21 620 420 367 613   3   0  280   1   0   0   4   3   1   0   0   3   0   0
H_Azumi       19 jap  1 16  5 10 17 620 829 520 345   3   0  248   0   0   0   2   0   0   0   0   3   0   0
K_Choshi      18 jap  1 16  7  6 18 476 828 708  47   3   2  158   0   0   0   3   0   0   0   0   0   0   0
H_Utsugi      18 jap  1 16  5  3  8 324 633 379 512   1   1   31   0   0   0   0   0   0   0   0   0   0   0
I_Hiraki      17 jap  1 15  3  6 41 476 711 977  24   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Enoki       18 jap  1 15  3  5  9 476 518 843 835   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Miyama      17 jap  1 15  3  4 20 324 378 366 451   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Mizaguchi   16 jap  1 15 10  9 15 324 928 406 905   3   0  280   0   0   0   2   2   1   0   0   0   0   0
I_Honami      19 jap  1  6 17  5 13 764 776 828 136   3   3   96   0   0   0   1   3   0   0   0   0   0   0
O_Isoda       19 jap  1  9 17  6 32 764 112 873 149   3   0  184   0   0   0   1   4   1   0   0   0   0   0
Y_Ikina       19 JAP  1  6 17 12 15 476 467 876 706   3   0  280   0   0   0   0   1   3   0   1   0   0   0
H_Endo        18 jap  1  7 16  5 63 620 123 764 830   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Jukodo      18 jap  1  2 16  6 35 476 890 557 771   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Nagasato    18 jap  1 10 15  7 17 324 662 671  44   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Iwashimizu  16 jap  1 11 15  3 19 324 528 553 560   3   0  280   0   0   0   1   0   1   0   0   0   0   0
Y_Sameshima   16 jap  1  4 15  5 17 324 219 444 470   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Sukaguchi   16 jap  1  9 14  2  8 308 300 590 304   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Kazayuki    16 jap  1  6 13  6 10 308 251 171 639   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Kihara      19 jap  1  5 13 16 13 476 278 210 819   3   0  192   0   0   0   1   2   8   0   0   0   0   0
S_Iwabuchi    17 jap  1 12  9 16  8 324 621 304 666   3   3   88   1   0   0   1   1   3   1   0   0   0   0
T_Sugibayashi 16 jap  1 13 14 15 39 324 527 919 902   3   0  280   0   0   0   2   2   8   0   1   3   0   0
H_Masuzoe     17 jap  1  4  6 15 21 476 974 938 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0
