Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Aylott      18 eng 18  1  1  1 25 449 428 428 428  18   0 1666   0 123  29   0   0   0   0   0   0   0   0
E_Ausmus      17 swi 16  1  1  1  8 437 580 580 580   1   1   64   0   4   0   0   0   0   0   0   0   0   0
F_Zyblewski   16 pol 14  1  1  1 37 158 428 428 428   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Sunderland  19 eng  1 19  7 11 27 724 894  69 103  18   0 1730   1   0   0  31   7  15   4   1   0   0   0
M_Pue         19 jap  1 19 11  8 26 868 388 511 890  18   0 1730   0   0   0  26  17  13   1   1   0   0   0
J_Workstel    19 cro  1 18 13  5 31 868 565 941 671  18   0 1730   2   0   0  20  20   7   0   2   0   0   0
T_Huhlein     18 aut  1 18 14  5 41 580 544 201 667  17   0 1619   2   0   0  35  13  15   3   3  16   0   0
P_Culberth    18 sco  1 17  9  5 24 724 613 672 977   5   3  260   0   0   0   2   2   0   0   0   0   0   0
H_Bustard     19 fra  1 17  9  6 23 580 333 690 819   2   1  110   1   0   0   2   4   3   0   1   0   0   0
I_Burvill     18 wal  1 16  4  3 27 428 218 268 664   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Ryle        19 nir  1  5 19 11 23 868 206 583 818  18   0 1730   0   0   0   1  45  14   3   2   0   0   0
C_Busineau    19 bel  1  5 18  9 48 580 584 916 607  17   0 1580   0   0   0   2  38  12   2   1  10   0   0
R_Prowse      19 SCO  1  5 17  8 18 580 374 527 343   6   0  574   0   0   0   0  12   3   0   2   0   0   0
F_Lynd        17 den  1  3 16  6 19 428 670 363 879   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Hymes       16 usa  1  8 15  2 55 428 212 812 665   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Kunold      18 ger  1  6 15 13 24 724 148 749 975  16   0 1540   0   0   0   3  24  25   2   3   6   0   0
I_Kuhl        17 ger  1  2 15  6 44 428 331 340 169   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Gwin        17 wal  1  5 14  7 22 580 302 715 922   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Caine       17 eng  1 11 10 18 35 428  70 379  66  18   0 1725   0   0   0   2  11  56   5   2   6   0   0
D_Juul        18 hol  1  3  8 17 48 580 422 150 758  16   0 1490   1   0   0   3   9  40   7   2   9   0   0
B_Burdo       17 can  1  9  7 17 35 428 293 159 310  15   0 1277   0   0   0   6   7  36   5   1  26   0   0
Q_Crux        18 spa  1  3  6 17 10 428 669 320 131   1   1    5   0   0   0   0   0   0   0   0   0   0   0
