Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Typpo       18 xxx 18  1  1  1 26 598 412 412 412  15   0 1462   0  43  11   0   0   0   0   0   0   0   0
F_Mulhair     19 nir 18  1  1  1  8 373 572 572 572   1   0   93   0   8   2   0   0   0   0   0   0   0   0
W_Ruthrauff   18 den 16  1  1  1 60 481 572 572 572   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Yow         19 fra  1 19  9  7 11 700 493 298 273  14   0 1264   2   0   0  14   5   7   0   0   6   0   0
P_Ludwell     18 xxx  1 18 10  1 12 412 247 575 673  16   0 1554   2   0   0  13  15   5   0   3   6   0   0
A_Wye         19 fra  1 17 11  6 14 708 682 421 838  16   0 1391   1   0   0  17   9   9   1   0   3   0   0
Player_8      17 xxx  1 17 13 10 49 412 570 774 341  15   0 1462   1   0   0   9  17   5   0   2   6   0   0
V_Twist       18 fra  1 17  2 13 14 648 492 814 179  15   1 1411   0   0   0  12   4   8   1   0   0   0   0
Q_Vonbrendel  19 ukr  1 16  5  4 40 572 222 701 556   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Von_Briel   18 xxx  1 16  6 10 19 412  25 147 229   3   2  154   0   0   0   2   1   1   1   0   3   0   0
J_Kukoda      16 xxx  1 15  5  2 24 412 177 238 698   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Wozny       17 xxx  1 14  4  3 15 412 169 258 822   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Queen       18 usa  1 14 19  6 18 572 483 658 619  16   0 1555   0   0   0  11  23   4   1   2   0   0   0
F_Buttrell    19 swe  1 10 19  6 16 572 518  90 561  16   0 1496   0   0   0   7  28   7   0   0   0   0   0
R_Sykora      17 cro  1 10 17 13 24 546 766 137 915  16   0 1524   0   0   0   6  26  18   2   0   0   0   0
D_Durieux     18 fra  1 10 16  5 15 572 351 503 415  11   4  914   1   0   0   4  15   6   1   3   0   0   0
O_Russell     16 xxx  1  2 15  5 16 412 590 462   2   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Ruscher     17 rus  1  5 15  4 11 572 996 280 297   1   0   93   0   0   0   0   0   0   0   0   0   0   0
R_Rzeszut     16 xxx  1  9 13  3 40 412 427  46 733   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Suggett     19 LAT  1  4  8 18 14 572 397 251 400  14   0 1301   0   0   0   1   4  41   5   0   3   0   0
Q_Duzak       17 xxx  1  9  5 17 27 412 308 640 246  16   0 1555   0   0   0   6   5  34   5   0   6   0   0
R_Bulingame   19 hol  1  7  6 16  9 572  46   3 474   4   2  255   0   0   0   3   0   3   0   0   0   0   0
