Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Phelan      30 aus 26  1  1  1 23 195 504 504 504   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Floki         22 aus 25  1  1  1 12 388 360 360 360  13   0 1236   0  64  23   0   0   0   0   0   0   0   0
W_Segrass     28 sen 21  2  2  2 24 370 381 381 381   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Perelman    30 swi  2 25 15  8 16 828 999 694 548  13   0 1236   0   0   0   7  11   9   2   1   3   0   0
U_Jarvinen    31 PER  2 25 13  6  6 862 122 576 167   8   0  760   0   0   0  16   4   5   2   1   0   0   0
H_Brubaker    28 usa  2 25 13  6 16 793 505 873 860   6   1  477   0   0   0   6   3   2   0   0   0   0   0
P_Jarboe      22 gha  1 24 19 13 46 972 550 975 736  13   0 1236   1   0   0  21  17  13   1   1   3   0   0
C_Zeller      22 usa  1 24  7 16 28 630 451 967 451  13   0 1236   3   0   0  30   5  17   3   2   6   0   0
K_Fereneaba   29 rom  2 23 11  7 50 664 241 216 316   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Wazenegger  24 can  2 20  5  9 53  75 894 716 107   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Ze_Eduardo    28 bra  2  3 26 15 29 503 985  42 931   6   1  545   1   0   0   0  13   7   1   3   0   0   0
Y_Largan      28 ivo  2 14 25  6 29 450 851  82  89  13   0 1236   1   0   0   2  23   5   1   0   0   0   0
A_Rebanks     30 saf  2  8 24 17 23 637 367  16 434  13   0 1236   1   0   0   3  28  23   4   4   0   0   0
U_Hughston    23 ire  1  7 22  5  9 894 875 727  43  13   0 1236   0   0   0   1  26   5   1   3   0   0   0
Y_Zumbro      23 ivo  1 10 22 16 31 894 155  85 164  13   0 1236   0   0   0   6  17   8   1   2   6   0   0
L_Mastrianni  29 ita  2 10 21  6 44 831 958 200 470   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Miyamura    25 jap  2 10 20  5 63 230 451 466  47   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_DeLespine   25 ita  2  6 12 25 15 171  72 412 718  13   0 1236   0   0   0   3  10  47   4   3   0   0   0
K_Schomig     25 ger  2  9 11 22 13  93 299 379  48   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Reh         23 bra  1  9  7 20 20 984 608 443 231   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Schwenk     26 can  2 11  5 20  8 211 371 405 576   0   0    0   0   0   0   0   0   0   0   0   0   0   0
