Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Azbell      19 por 18  1  1  1 10 549 515 515 515   8   0  816   0  32   8   0   0   0   0   0   0   0   0
D_Filotti     19 rom 15  1  1  1 14 818 438 438 438   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Fundis      19 swi  1 18  5 10 20 623 936 490 871   8   0  816   0   0   0  13   2   8   1   0   0   0   0
P_Ryther      19 por  1 17  6  3 17 515 614 100 446   8   0  816   1   0   0  14   3   2   0   0   0   0   0
Y_Mountney    18 por  1 15  5 10 10 515 959 974 649   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Duvernay    19 swi  1 15  7  4 10 623 851 332   6   8   0  816   0   0   0   7   5   3   0   0   0   0   0
Q_Bussiere    18 por  1 15  5  8  7 515 913 731 711   8   0  816   2   0   0  21   3  11   1   1   0   0   0
T_Cyman       16 xxx  1 15  5  4 34 330 492 515 344   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Wranik      18 xxx  1 14  4  4 24 330 895 831 432   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Gulledge    17 xxx  1 14  4  3 29 330 815 617 596   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Burdine     18 eng  1 13  5  7 13 430 738 611 608   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Huerdini    17 xxx  1 13  3  2 17 330 537 776 479   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Lynagh      16 xxx  1 12  4  2 35 330 476 981 726   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Butchart    19 por  1  3 17 14 39 515 656 122  46   8   0  816   1   0   0   0   8  24   4   2   0   0   0
F_Syer        18 por  1  9 15  7 62 515 868 962 424   8   0  816   0   0   0   7  21   6   0   2   0   0   0
E_Culotta     18 xxx  1  2 14  4  8 330 522 799 545   8   0  799   0   0   0   0  13   6   1   0   0   0   0
M_Szymusiak   18 xxx  1  8 14  9 49 330 309 776 476   8   0  816   0   0   0   1  21  11   0   0   3   0   0
H_Purse       17 wal  1  3 13  7 40 430  58 749 852   1   1   17   0   0   0   0   0   0   0   0   0   0   0
N_Ayer        19 sen  1  3  9 18 14 430 216 848 290   8   0  816   0   0   0   0   5  23   4   0   0   0   0
Y_Gumb        19 usa  1  4 16 18 21 430 188 855 196   8   0  746   0   0   0   2  12  30   2   1   0   0   0
F_Youthler    19 can  1  2  7 17 35 430 998 891 475   1   1   70   0   0   0   0   0   2   0   0   0   0   0
