Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Von_Ringh   16 xxx 17  1  1  1 60 399 384 384 384  15   0 1420   0  76  39   0   0   0   0   0   0   0   0
J_Syd         19 fra 17  1  1  1 31 161 504 504 504   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Fulghlus    17 xxx 15  1  1  1 48  34 384 384 384   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Avenius     19 den  1 19 12 10 30 720 333 622 487  14   0 1289   0   0   0  18  12  10   1   0  13   0   0
A_Mumbauer    18 xxx  1 18  6  4 16 384 799 344 750  15   0 1372   0   0   0  29   2   3   0   1   3   0   0
B_Turkalj     17 tur  1 16  5  3 20 504 524 152 250  15   0 1420   0   0   0  25   3   7   0   0   3   0   0
C_Rybicki     16 xxx  1 16  4  8  8 384 388 642 355  14   0 1325   1   0   0  20   0  10   0   0   0   0   0
P_Wunderle    18 bel  1 16  3 10 10 504 246 680 492   3   1  238   0   0   0   3   1   2   0   0   0   0   0
R_Wozny       18 pol  1 14 10  4  8 504 617 261 404   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Burson      19 ire  1  4 19  9 15 720 490  75 629  15   0 1420   0   0   0   1  24  10   0   2   0   0   0
U_Szapira     18 fra  1  4 18  8 10 612 796 201 395  15   0 1420   0   0   0   2  20  10   0   1   0   0   0
M_Symes       18 eng  1  4 17  6 23 612 157 514 595  15   0 1400   0   0   0   3  16  10   0   1   6   0   0
L_Bystryk     18 xxx  1 10 17  3 40 384 388 195 583  12   0 1109   0   0   0   6  20   1   0   0  18   0   0
P_Crumpacker  18 ger  1  4 16  8 22 612 186 593 233   5   2  331   0   0   0   0   2   1   0   0   0   0   0
P_Surles      17 xxx  1  5 16  2 13 384  47 552 647   8   0  690   0   0   0   3  10   3   0   0  10   0   0
P_Worker      17 xxx  1  7 16  4  8 384 104 126 160   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Durnil      18 eng  1  6 15 10 30 504 571  99 108   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Sweadner    16 xxx  1  2 15  4 19 384 576 108  52   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Mourer      19 NIR  1  3  6 18 26 504 174 247 231  13   0 1098   0   0   0   1   3  30   3   0   0   1   0
C_Ruh         19 gha  1  5 10 17 26 720 461 394 673   8   1  727   0   0   0   0   2  13   2   0   0   0   0
E_Lurgio      17 xxx  1  4 10 16 12 384 559 416 145   3   1  260   0   0   0   0   2   5   1   0   0   0   0
