Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Ravelli     27 swe 27  2  2  2 42 894 629 629 629  14   0 1185   0  72  29   0   0   0   0   0  10   0   0
Modze         26 aus 26  1  1  1 20  20 498 498 498   4   2  326   0  19   8   0   0   0   0   0   0   0   0
W_Memphis     22 usa 21  1  1  1 34 414 930 930 930   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Papineau    29 fra  2 28  3 13  0 417 422 766 321  13   1 1127   0   0   0  17   5  11   1   1   0   0   0
C_Davies      26 wal  2 26 22 19 17 255  47 438 447  16   0 1511   0   0   0  14  13  22   2   0   6   0   0
K_Reichley    25 ger  2 25 22 11 12 129 434 341  44  13   0 1164   0   0   0  15  11   8   1   1   3   0   0
Ari_Gold      23 usa  1 24 20 11 33 930 499 615 398  16   0 1511   0   0   0  18  13   6   0   0   6   0   0
Q_Aldorasi    23 por  1 24 19 13 13 912  70 587 949   5   1  384   0   0   0   4   3   2   0   1   0   0   0
T_Feltwell    24 aus  2 22 10 15  8 129 774 840 471   4   1  347   0   0   0   5   2   7   0   0   0   0   0
M_Sunley      22 ire  1 22  9  6  8 930 474 346 357   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Mundey      20 ire  1 20  8 10 11 834 134 267 466   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Turange     21 por  1 20 19  4 17 714  50 150 488   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Wortham     28 ger  1  7 26 21 18 528 531 641 940  16   0 1511   1   0   0   2  31  22   2   3   3   0   0
N_Sirkus      24 usa  1 20 26 10 16 714 701  12 230  16   0 1511   0   0   0   8  23   3   0   0   3   0   0
S_Greg        22 usa  1 16 25 10 35 498 606 267 650  15   0 1401   1   0   0   9  31  15   1   2  16   0   0
N_Caballero   27 spa  2 12 25  6  3 129 481 146 568   9   1  776   1   0   0   4  10   4   1   1   0   0   0
SB_Tommy      23 usa  1 20 24 16 29 606  11 855 148   9   0  831   1   0   0   1  23  10   0   2   3   0   0
U_Fuglin      21 sco  1 11 22  5 20 930 858  31 807   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Luckow      21 aus  1  8 21 11 36 822 353 705 831   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Fulenwider  21 ger  1 12 21  7 55 822 983 498  80   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Stegglezz     27 aus  1 10 10 27 23 498 693 996 567  11   0 1007   1   0   0   2   7  43   4   1   6   0   0
Jax           28 usa  2  5 20 27 17 147 420 927 290  16   0 1436   1   0   0   3   6  40   6   0   6   0   0
K_Paprocki    31 RUS  2  3  5 23 61 241 526 949 516   2   2   34   0   0   0   0   1   1   0   0   0   0   0
R_Bull        22 aut  1 14  8 23 27 606 218 724 568   5   0  470   0   0   0   1   3  13   3   0   6   0   0
