Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
E_Heabel      31 col 21  2  3  2 25 591 988  24 988  11   0 1072   0  60  17   0   0   0   0   0   0   0   0
C_Childress   31 sco 20  3  3  3 10  61  84  84 108   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Kiely       21 ire 20  1  1  1 26 153 949 949 949   1   0   93   0   5   0   0   0   0   0   0   0   0   0
A_Roberson    29 sco  1 26  6 17 36 895 495 155 557  12   0 1077   2   0   0  21   4  18   2   1   6   0   0
Y_Diaghilev   28 rus  2 25 15  9 30 400 138 847 727  11   0 1046   0   0   0  11  13   8   2   4  13   0   0
V_Hausrath    27 ger  2 24 22 11 12 310 269  24 164  12   0 1165   1   0   0  15   5  15   6   1   0   0   0
P_Beich       25 usa  1 23 18  5 28 979 844 239 257  12   0  718   1   0   0   4  11   5   0   1   0   0   0
T_Rukovskaya  29 rus  2 23 13 11 25 433 263 800   3  11  10  630   0   0   0  11   4   2   0   0   3   0   0
O_Nebur       24 arg  2 22  5 10 20   4 681 962 337   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Mull        20 sco  1 20 12  4  9 679 302 549 657   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Ayscough    20 ire  1 20  4 16  6 571 203 699 446   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Bootman     32 eng  2 19 14  6 35 557 650 583 147   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Huitt       21 aus  1 18 10 14  8 715 652 352 177   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Demidenko   30 rus  2 15 24  7 13 446 829 769 574  12   0 1152   0   0   0   3  17   9   1   2   0   0   0
Cando_Santos  31 bra  2 17 24  5 27 734 157 388 418  12   0 1165   0   0   0   3  20   2   0   2   0   0   0
P_DeLara      24 por  2  7 23 11 21 202 325 390 719  12   0 1165   0   0   0   3  23   8   0   2   0   0   0
L_Massirer    23 por  1 18 22  4 44 949 891 969 622  12   0  670   0   0   0   6  14   2   0   1   6   0   0
P_Nuno        23 por  1  9 22  5 13 931 119 190 997  10  10  495   0   0   0   3  10   2   0   0   0   0   0
A_Psencia     21 rom  1  8 20  6 13 823  68 816 990   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Durette     20 aus  1  8 19  4 27 571 662 643 712   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Swartwood   20 jam  1  9 19  5 12 679 337 377 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Becher      27 hol  2  9 12 26 19 323 134 750 130  11   0  963   0   0   0   1   4  35   5   0   0   0   0
S_Varsek      28 ukr  2  8 20 26 23 253 277  72  51  11   0 1012   2   0   0   1  10  51   9   2  16   0   0
N_Massey      24 ire  2 10  7 21 13   4 107 197 272   4   2  310   0   0   0   0   2   8   0   1   0   0   0
P_Tutwiler    21 wal  1  7 12 21  7 967 963 815 406   0   0    0   0   0   0   0   0   0   0   0   0   0   0
