Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Fryjoff     19 hol 16  1  1  1 13 767 428 428 428   2   0  220   0  14   2   0   0   0   0   0   0   0   0
H_Curling     18 ire 16  1  1  1 23 181 536 536 536   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Munes       17 xxx 15  1  1  1 30 346 320 320 320   3   0  287   0  13  11   0   0   0   0   0   0   0   0
B_Hulling     17 eng 13  1  1  1 38 468 428 428 428   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Turnseck    18 xxx  1 18  7  3 47 320 141 449 815   5   0  494   0   0   0   9   5   4   1   0   3   0   0
B_Jurgess     18 wal  1 17  9 16 34 536 435 939 342   5   0  507   0   0   0   4   5   7   0   0   0   0   0
N_Surplice    18 wal  1 15  5 12 16 536 859 853 630   5   0  430   0   0   0   5   0   6   1   0   0   0   0
S_Baratheon   17 aus  1 15  7  4 10 459 576 948 246   4   1  320   0   0   0   5   2   0   0   0   0   0   0
P_Putsche     17 ger  1 14  7  2 33 428 675 460 984   4   4  129   0   0   0   2   1   1   0   0   3   0   0
P_Sudden      17 xxx  1 14  6  5 25 320 363 536 485   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Overdorff   17 den  1 13  3  7 17 428 538  98 497   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Mullane     19 ire  1  4 18  6 18 644  27 797 822   5   0  507   0   0   0   0  14   4   0   0   3   0   0
O_Buna        18 spa  1  7 17  5 22 428 527  20 520   5   0  507   0   0   0   2  16   5   0   2   0   0   0
Q_Lutman      17 xxx  1  3 16  4 27 326 387 511 450   3   0  279   0   0   0   1   3   1   0   0   0   0   0
L_Muscott     19 aus  1  4 15  7 16 536 541 755 684   5   1  349   0   0   0   0   2   6   0   1   3   0   0
D_Buit        18 xxx  1  2 15  4 29 320 323 372 553   2   2   99   0   0   0   0   3   1   0   0   0   0   0
C_Curnow      16 xxx  1  3 15  7  8 320 564 885 371   3   0  287   0   0   0   1   7   4   0   0   0   0   0
M_Fydrych     18 bel  1  3 14  4 57 428  90 589 675   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Cutland     18 xxx  1 10 14  3 38 320 450 523 740   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Lueddeke    17 xxx  1  1 14  5 22 320 500 996 680   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Overbeck    17 bel  1  5 13  4 14 428 507 739 144   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Curell      18 nir  1  3  7 17 26 536 569 243 297   5   0  507   0   0   0   2   2  16   1   0   3   0   0
J_Durick      18 xxx  1  5  3 16 21 320 985 340 876   5   0  507   0   0   0   0   0  13   1   0   3   0   0
P_Hulings     18 sco  1  5  7 14 31 536 195 635 625   0   0    0   0   0   0   0   0   0   0   0   0   0   0
