Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
AJ_van_Cam    31 hol 24  2  2  2 47 306 877 877 877  13   0 1267   0  58  28   0   0   0   0   0   3   0   0
N_Bunks       21 eng 23  1  1  1 46 438 744 744 744   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Vargason    30 ice 20  2  2  2 15 661 803 803 803   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Thorsheim   29 can 20  2  2  2 27 599 902 886 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Redmann     26 aus  2 24 16  9 37  93 622 128 103  13   0 1267   1   0   0  21   5   9   1   0   3   0   0
O_Marrs       25 sen  2 24 22  7 17  75 254 132 490  12   0 1128   1   0   0  15  12   4   1   0  10   0   0
J_Catt        28 eng  2 24 17 10 17 684 139  58 363  13   0 1267   1   0   0  17  14  12   1   1   0   0   0
T_Shatswell   31 wal  2 22 18 11 56 825 713 117 181  12   0 1164   1   0   0  10  14  17   0   1  19   0   0
B_DelFierro   26 ita  2 22 13  5 16 453  30 925 877   2   0  191   0   0   0   1   1   0   0   0   3   0   0
V_Peedin      23 rom  2 21  9  5 22  57 815  89 818   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Kodama      21 jap  1 21 15  8  9 852 798 873 786   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Razumikhin  29 rus  2 20 14  6 30 572 673 700 257   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Guntly      21 sco  1 20 16  6 45 858 845 661 934   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Dupy        20 usa  1 20  5  9 13 744 373 629 443   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Russnogle   20 usa  1 19  8 16 23 636 679 264 321   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Cusick      20 eng  1 17  8  5 23 744 602 460 615   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Matheral    27 sco  2 14 24  7 16 201 702 448 848  13   0 1267   0   0   0   4  17   5   0   1   0   0   0
J_LeBron      28 fra  1 10 24 15 44 840 534 514 607  13   0 1267   0   0   0   4  21   8   0   1   3   0   0
O_Redlon      26 isr  2 18 23 12 39 471 106 910 409  13   0 1267   0   0   0   8  23  12   1   1   3   0   0
Thiago_Silva  25 bra  2 16 23  5 12 117 967 524 724  12   0 1126   1   0   0  11  18   9   2   2   3   0   0
V_Gerhard     22 wal  1  8 21 12 13 948 820 969 206   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Fuerst      21 hol  1 14 21  6 34 744 956 669 243   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Hersi       31 hol  2 11 20 12 21 482 858 796 524   2   1  141   0   0   0   0   4   0   0   0   0   0   0
F_Cassity     25 sco  2 17 20  6 18 171 718 145 935   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Currington  20 eng  1 14 20  6 52 870 877 312 233   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Burnaime    21 jam  1 13 20 11 10 732  84 152 311   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Cullington  20 usa  1 11 19  7 19 636 397 701 202   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Nakamura    28 jap  2  3 13 25 25  85 157 562 403  13   0 1177   1   0   0   0   2  48   5   0   9   0   0
P_Vart        23 usa  2 13 18 22 22 219 627 111 828  13   0 1267   1   0   0   7   8  38   5   0   0   0   0
I_Kerchhoff   25 aut  2  9 16 21 19 309 905 685 879   2   2   90   0   0   0   0   0   3   1   0   0   0   0
S_Hynes       22 eng  1 19 10 21 15 732 917 743 871   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Dwy         20 chi  1  7 11 20 31 888  90 985 208   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Croyle      20 sco  1 16  5 20 12 870  11 631  95   0   0    0   0   0   0   0   0   0   0   0   0   0   0
