Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Symk        19 usa 18  1  1  1 16 388 716 716 716   9   0  849   0  50  17   0   0   0   0   0   0   0   0
Y_Proudfoot   18 xxx 17  1  1  1 49 838 356 356 356   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Oxborrow    18 ire 15  1  1  1 26 212 482 482 482   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Overfield   19 eng  1 18  4 10 41 716 405 182  71   9   0  849   0   0   0   8   1   6   1   0   6   0   0
H_Bushkovski  18 usa  1 17  5 16 18 608 854  93 375   9   0  849   1   0   0  17   3  15   1   0   0   0   0
H_Pukancik    19 ukr  1 17 15 12 16 716 805 662 874   6   0  468   0   0   0   6   1   5   0   0   0   0   0
F_Tyra        18 pol  1 17  9  5  9 482  95  81  20   9   0  849   1   0   0  14   6   5   1   1   3   0   0
J_Tumer       18 usa  1 16  4 10 45 608   7 607   6   5   2  381   0   0   0   8   1   4   0   0   6   0   0
H_Frymier     17 xxx  1 15  3  5 41 356  46 672 866   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Gypins      16 xxx  1 14  2  7 15 356 765 409 625   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Moutinho    16 xxx  1 14  3  3 56 356 625 674 446   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Humphreys   19 usa  1  9 18  4 28 608 962 843 673   9   0  849   0   0   0   2  18   5   0   0   0   0   0
B_Dupaul      18 xxx  1  5 17  1 14 356 639 670 596   6   0  517   0   0   0   1   7   0   0   1   0   0   0
A_Guerrero    19 spa  1  5 17  6 20 482 327 430 908   9   0  849   0   0   0   1  21   8   1   0   0   0   0
P_Muething    17 xxx  1  4 16  5 10 356 513 750 736   9   0  759   1   0   0   1  16   3   2   1   0   0   0
I_Buschey     18 usa  1 13 16  5 15 608 155 285 698   5   2  422   0   0   0   2   7   1   0   1   0   0   0
P_Gussen      18 xxx  1  4 16  9 12 356 373 173 196   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Gyan        18 saf  1  5 16  4 32 482 883  26 135   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Butina      19 uru  1  5 15 11 14 716 226 169 170   1   1   24   0   0   0   0   0   0   0   0   0   0   0
B_Stutheit    16 xxx  1  2 13  4 47 356 431 347 718   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Kunfare     19 usa  1  6  8 18 10 608 695  75 740   9   0  849   0   0   0   1   2  25   0   1   0   0   0
D_Swertfager  19 ger  1  8 12 18 67 716 264  96 117   9   0  825   0   0   0   2   8  16   2   0   3   0   0
