Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
W_Buxkemper   19 bel 17  1  1  1 21 787 588 588 588  11   0 1042   0  54  11   0   0   0   0   0   0   0   0
A_Bulling     19 sco 15  1  1  1 29 961 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Fulenchek   19 nor  1 18  2  8  9 480 721 108 904  11   0 1042   1   0   0  19   2   6   1   0   0   0   0
I_Yunits      18 xxx  1 18  3  9 27 360 182 603 796  10   0  943   1   0   0   9   5   6   0   0  13   0   0
J_Swonger     18 xxx  1 16  8  5 17 360 389 839 501  11   0 1042   1   0   0  13   6   5   0   0   3   0   0
C_Oyler       17 xxx  1 16  4  5 31 360  60 595 943  11   0 1042   0   0   0  15   3   4   0   0   6   0   0
R_Cygan       18 xxx  1 15 11  3  9 360 745 113 459   1   0   97   0   0   0   2   0   0   0   0   0   0   0
P_Cuddihy     17 xxx  1 15  4  6 11 360 893  55  88   9   0  850   1   0   0  12   0   3   0   0   0   0   0
C_Purviance   17 spa  1 14  6  4  9 474  49 867 252   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Vuerhard    19 hol  1  9 18  7 74 582 354 923 865  11   0 1042   0   0   0   8  20   6   0   0   6   0   0
A_Swire       19 IRE  1  3 17 11  9 474  27 158  25   9   0  630   1   0   0   0   8  10   1   0   0   0   0
F_Nowowieski  17 rus  1  3 17 12  8 474 123  23  20  11   0 1042   0   0   0   3  17   4   0   1   3   0   0
J_Kusterer    17 den  1  3 16  6 20 462  98 121 186   8   0  759   0   0   0   0   9   4   0   2   0   0   0
M_Mulready    19 ire  1  6 15  4 60 480 269 972 398   4   0  378   0   0   0   1   9   0   0   0   0   0   0
V_Butdorf     18 ger  1  8 15  3 47 582 992 600 980   3   3  225   0   0   0   2   2   0   0   0   0   0   0
B_Burradell   16 xxx  1  6 13  8 30 360  47 204 431   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Kupper      19 nzl  1  4  9 16 14 474 140 280 984  11   0 1042   0   0   0   0   4  17   1   0   6   0   0
F_Pruneau     19 saf  1  6  8 16 46 690 334 397 524   3   0  284   0   0   0   0   0   4   1   0   3   0   0
D_Tuson       19 por  1  7  6 15 21 480 855  96 944   0   0    0   0   0   0   0   0   0   0   0   0   0   0
