Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Clavicle      29 bra 29  2  2  2 27  41 605 605 605   2   0  189   0  15   7   0   0   0   0   0   0   0   0
P_Kemmerer    25 can 23  2  2  2 20 495 519 519 519   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Vimes       33 eng  1 26  9  7 21 340 919 814  56   2   0  189   0   0   0   3   0   2   1   0   0   0   0
D_Schurman    28 ger  2 26 11 11 13 833 777 373 157   1   0   94   0   0   0   5   1   0   0   0   0   0   0
L_Zweig       25 pol  1 25  6 10 47 866 131 904 151   2   2   51   0   0   0   3   0   0   0   0   0   0   0
Q_Latsch      24 fra  2 25 15  7 21  29  60 214 703   1   0   72   0   0   0   0   2   0   0   1   0   2   0
T_Likely      26 eng  1 24 14 17 16 340 598 827 552   2   0  161   0   0   0   1   2   1   0   1   0   0   0
V_Hunkler     24 den  1 23 14  1  3 364 435 590 199   1   0   95   0   0   0   2   0   1   0   0   0   0   0
U_Beatson     28 sco  2 23  7 18 17 745 945   3 297   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Scirocco    23 eng  1 23 14  7 33 992 532   7 182   1   0   94   0   0   0   2   0   5   0   0   3   0   0
J_Teatime     28 eng  1  9 26 10 21 340 725 910 249   1   0   71   0   0   0   0   0   3   0   0   0   0   0
Y_Fahy        25 swi  1  6 25 13 13 992 816 930 216   2   1  118   0   0   0   0   1   1   0   0   0   0   0
F_Venters     29 hol  2 15 25  6 25 939 550 528 319   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_M_Arthur    25 sco  2 17 25 13 23 119 399 613 218   2   0  189   0   0   0   1   3   0   0   0   0   0   0
Josa          28 bra  2  6 25 13 13 619 172  79 601   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Howler      26 eng  1 18 23 12 29 340 220 878 181   2   0  189   0   0   0   3   2   1   0   1   3   0   0
Lucas         22 bra  1 13 23 18 43 874 233 264 610   2   0  189   0   0   0   0   8   1   0   0   0   0   0
S_Hauke       23 aus  2  6 22 10 16 173 949  77 589   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Aldorino    29 ita  2 14 10 26 12 761 639 549 215   2   0  189   0   0   0   0   0   5   2   0   0   0   0
M_von_Lipwig  24 hol  1 10 13 24 25 660 659 324 451   1   0   95   0   0   0   0   1   1   0   0   0   0   0
Massimo_Rescu 25 ita  1  4 18 24 25 740 904  31 707   1   0   94   0   0   0   0   1   5   1   0   0   0   0
