Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Lukaicaite  19 bel 17  1  1  1 40 509 804 804 804   5   0  477   0  15   0   0   0   0   0   0   0   0   0
P_Fulfit      18 bel 16  1  1  1 61 841 660 660 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Hunt        16 xxx 16  1  1  1  9 844 364 364 364   4   0  384   0  19   5   0   0   0   0   0   0   0   0
Q_Wybrow      19 usa  1 18  7  6 38 660 706 114 119   9   0  861   3   0   0  10   6   5   1   0   3   0   0
Big_Yan       18 sco  1 18  6  8 25 572 353 579 281   7   0  597   1   0   0   6   2   1   0   0   3   0   0
E_Hughston    18 ire  1 17  7 11 21 524 314 161 849   9   0  861   0   0   0   7   1  12   1   0   0   0   0
G_Obilale     17 bot  1 16 12  6 12 524 244 581 109   7   0  577   0   0   0   8   3   0   0   0  10   0   0
K_Gussman     16 xxx  1 15  2  6  8 364  99 553 362   3   0  249   0   0   0   2   0   0   0   0   0   1   0
O_Gunsorek    17 den  1 14 10  4 37 524 847 118 435   4   3  234   0   0   0   5   2   0   0   0   0   0   0
P_Eyermann    16 xxx  1 14  1  4 25 364 242 561 701   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Gurton      16 xxx  1 13  5  4  8 364 678 902 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Gumprecht   18 ger  1  5 17  3 18 660 910  96 887   9   0  861   0   0   0   2  14   3   0   2   0   0   0
O_Cuyler      18 aut  1  7 16  2 18 524  45 222 186   7   0  666   0   0   0   3  13   0   0   1   3   0   0
P_Swatzell    16 xxx  1  3 16  8 34 364 761 146  92   9   0  861   0   0   0   0   9   3   1   1   0   0   0
F_Listee      16 xxx  1  7 16 10 17 364 860  37 935   9   0  861   0   0   0   3   6   8   0   0   0   0   0
U_Kuwasaki    17 chi  1  6 15  2  9 524 279 168 299   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Czepczor    16 xxx  1  2 13  6  8 364 872 630 844   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Gumbrell    18 xxx  1  7  3 17 13 364 712 439 822   9   0  861   2   0   0   3   2  15   4   0   0   0   0
E_Buranen     19 eng  1  3  6 16 56 660 574 808 756   2   0  195   0   0   0   0   0   0   0   0   3   0   0
O_Vorwerg     18 den  1  9  5 16 40 660 835 626 519   5   0  479   0   0   0   0   0   5   0   0   3   0   0
V_Hutchison   17 eng  1  3  5 15 17 524  64 801 954   4   0  382   0   0   0   0   0   7   0   0   0   0   0
K_Nuicco      16 xxx  1 12  3 14 19 364 953 654 314   0   0    0   0   0   0   0   0   0   0   0   0   0   0
