Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
K_Kunkler     19 usa 17  1  1  1 60 419 484 484 484  13   0 1259   0  52   8   0   0   0   0   0   3   0   0
X_Subaru      18 usa 16  1  1  1 11  32 484 484 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Player_1      19 xxx  2  1  1  1 50 161 544 544 544   1   1   51   0   0   0   0   0   0   0   0   0   0   0
Player_2      19 xxx  2  1  1  1 50 161 544 544 544   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Player_3      19 xxx  1  1  1  1 50 980 532 532 532   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Player_4      19 xxx  1  1  1  1 50 980 532 532 532   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Huskisson   19 sco  1 18  7  4 19 603 871 366 691  13   0 1259   0   0   0  13   4   5   0   1   6   0   0
W_Stutler     18 xxx  1 18  8 10 30 344 384 538  75  13   0 1259   2   0   0  25   7  13   0   0   3   0   0
A_Dygert      19 usa  1 17  6  5 24 484 511 407 390  13   0 1259   1   0   0  20   4   7   1   0   6   0   0
W_Wukelich    17 xxx  1 15  4  4 36 344 139 947 412  13   0 1259   1   0   0  13   8   1   0   1   0   0   0
V_Wyrembek    19 usa  1 13 17  5 11 603 107 284 767  13   0 1259   0   0   0   4  20   4   0   0   6   0   0
U_Myhand      17 usa  1  7 16  6  7 484  40 353 181  13   0 1259   1   0   0   4  22   5   2   0   0   0   0
T_Suttaby     18 xxx  1  5 16  1 15 344 781  48 840  12   0 1124   0   0   0   3  21   0   0   0  10   0   0
V_Hull        17 xxx  1  4 15  2 16 344 924  91 777   7   0  611   0   0   0   1  17   0   0   1   0   0   0
H_Stutheit    17 xxx  1  9 14  1 46 344 817 848 612   6   0  493   0   0   0   2   9   0   0   0  10   0   0
F_Rychetsky   18 usa  1  8  3 15 21 484  61  66 457  13   0 1259   1   0   0   4   0  35   4   0   3   0   0
C_Mullaney    17 xxx  1  4  4 15 19 344 464 888 336  13   0 1259   0   0   0   2   3  33   2   0   0   0   0
D_Sweaney     16 xxx  1  8  8 13 22 344 606 915  34   1   0   98   0   0   0   0   0   1   0   0   0   0   0
