Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
H_Weigandt    25 hol 27  2  2  2 65 393 742 742 742  16   0 1422   1 117  32   0   0   0   0   0  12   0   0
Q_Demmitt     32 slo 19  3  3  3 48 583 382 466 626   2   1  179   0   9   9   0   0   0   0   0   0   0   0
F_Turnbull    28 eng  1 26  5 18 20 533 879 379 306  16   0 1497   0   0   0  30   6  20   2   0   0   0   0
H_Turlington  26 xxx  1 26  3 10 17 356 267 180 190   8   0  756   0   0   0   8   3  10   1   0   3   0   0
I_Jansheski   23 eng  2 24 21  6 15  72 295 501 372  17   0 1609   2   0   0  27  17   9   3   2   0   0   0
P_Edmunds     27 eng  2 23 18  6 49 998 722 401 123  16   0 1213   0   0   0  14  11   7   0   2  19   0   0
S_Adieu       24 fra  1 23 11  9 25 668 373 367 454   8   4  426   1   0   0  10   6   2   0   3   3   0   0
P_Fecher      24 fra  2 23 13  6 23 493 370 200 792  13   5  837   0   0   0  12   6   5   0   0   0   0   0
Q_Delisle     23 cam  2 22  7 16 16 101 361 691 243   3   2  141   0   0   0   1   0   4   0   0   0   0   0
T_Redding     32 CAN  3 20 12  9 10 701 387 216  40   2   2   74   0   0   0   3   0   1   0   0   0   0   0
Janbalasz     31 pol  1 10 26  7 22 524 440 220 938  15   0 1381   1   0   0   5  47   4   0   8   0   0   0
L_JeanCharles 28 can  1  1 26 16 29 956 883 563 575  15   0 1359   0   0   0   1  33  25   2   2  10   0   0
P_McDuffie    30 ire  2 12 25  5 23 950 594 836 660  17   0 1609   0   0   0   4  31  10   2   1   0   0   0
T_C_Pattison  26 eng  2 17 25  8 15 497 454 522 249  14   0 1240   0   0   0   8  26  13   1   0   0   0   0
E_Reinardy    25 saf  2 13 22  7 24 781 365  44 842   5   5  136   0   0   0   3   3   0   0   0   0   0   0
I_Texter      29 can  2  8 21  5 31 834 920 721 373   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Yazlovasky  30 rus  3  6 20 15 10 277 121 655 772   6   1  461   0   0   0   0   6   3   1   1   3   0   0
F_Dykeman     25 sco  1  3  3 26 18 524 452 449 448  17   0 1451   0   0   0   0   0  47   9   0   3   0   0
A_Mustang     26 por  1 16 12 25 29 453 300 651 396  17   0 1519   1   0   0   4   6  70   9   1   3   0   0
J_Dos_Santos  23 aus  1  6 13 23 10 812 541 367 277   3   3  158   0   0   0   1   1  10   1   0   0   0   0
V_Sciacca     25 ita  2  8 11 23 24 493 534 499  61   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Puntney     29 ire  2  2  4 22  5  13 109 982 262   0   0    0   0   0   0   0   0   0   0   0   0   0   0
