Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Jordi         29 hol 26  1  1  1 34 905 382 382 382   9   0  852   0  34  14   0   0   0   0   0   0   0   0
P_Cech        22 czk 25  1  1  1 28 895 354 354 354   2   0  190   0  11   5   0   0   0   0   0   0   0   0
D_Remme       30 arg 23  2  2  2 10 873 937 895 895   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Habel       31 aut  2 25 12  7  8  34  48 473 778  11   0  991   1   0   0   7   8   4   1   1   3   2   0
G_Jerrett     27 ire  1 25 16 14 46  55 785 542 575  10   0  946   1   0   0  11  12   7   3   1   3   0   0
H_McDede      31 sco  3 25 19  8  6 159  66 670 139   9   0  853   0   0   0   9   7   5   1   1   0   0   0
V_Laundry     26 eng  2 23 11  7 17 219 225  78 484   3   2  170   0   0   0   1   0   3   0   0   3   0   0
Rodrigo       24 bra  1 23 15 11 26 536 167 737 326   4   1  298   0   0   0   2   1   3   0   0   0   0   0
Aislan        24 bra  1 23 15 15 27 480 240 118  76  10   0  910   0   0   0   7   7  10   2   0   0   0   0
C_Cahall      25 aus  2 22  8 16 16  34 128 286 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Mitchell    24 usa  2 22  5 11 24 189 122 708 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Von_Ville   22 hol  1 21  4  9 14 840 461 617 751   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Tamblyn     26 por  2 11 25  3 14  33 426 712 735  11   0 1042   0   0   0   3  21   0   0   3   9   0   0
Romulo        24 bra  2 20 24 19 29 201 486 482 325  10   0  946   1   0   0   5   9  10   2   2   3   0   0
P_Guinazu     24 arg  1 16 24 12 15 655 325 158 422  11   0 1042   0   0   0   3  12  13   3   1   0   0   0
F_Ness        30 sco  2 12 23  5 16 992 429 124 227   1   0   96   0   0   0   1   2   0   0   0   0   0   0
Abuda         22 bra  1 15 23 19 22 662  94 111 955   9   0  853   0   0   0   4   8  10   3   1   0   0   0
V_Kutka       23 pol  1  6 23 19 10 714  46  30 282   2   0  189   0   0   0   1   0   2   0   0   0   0   0
Gecko         32 IVO  2 13 22 14 33 648 490 255 548   2   0  189   1   0   0   5   7   0   0   2   6   0   0
K_Vassaw      25 uae  2  4 21 16 17 201  57 684 561   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Serginho      22 spa  1 11 21 18 14 382  71  53 443   5   0  472   0   0   0   2   3   7   0   0   0   0   0
I_Szczukowski 29 pol  1 19  5 28 32 522 836 804 607  10   0  935   2   0   0   5   3  24   6   0  16   0   0
E_Luis        24 bra  2  5 16 24 27  34 858 220 116   5   0  477   0   0   0   1   3  15   1   1   0   0   0
Edmilson      22 bra  1  8 15 23 27 403 883 146  33   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Bangura     26 fra  2  6  8 22 59  75 458 501 818   0   0    0   0   0   0   0   0   0   0   0   0   0   0
