Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Gardien     19 fra 20  1  1  1 26 128 659 659 659  10   0  951   0  76  19   0   0   0   0   0   0   0   0
B_Collins     18 eng 16  1  1  1 24 901 385 385 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Turville    18 eng 16  1  1  1 16 620 364 364 364   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Muirfoot    16 wal 15  1  1  1  9 168 364 364 364   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Rypski      19 rus  1 18  8 14 21 483 851 443 997  10   0  951   0   0   0  13   9  22   4   0   0   0   0
A_Ruterbusch  19 can  1 17  7  6 20 659 744 426 232  10   0  951   0   0   0  12   9  17   4   1   3   0   0
R_Huston      19 can  1 16  8  5 17 803 673 901 429   4   0  376   0   0   0   6   7   2   0   0   0   0   0
R_Russell     18 sco  1 15  8  5 16 364 849 615 589   6   0  499   0   0   0   8   0   5   0   0  10   0   0
C_Tuttle      18 nzl  1 15  3  3 17 364 777 993 797   4   0  376   1   0   0   7   0   5   1   0   3   0   0
S_Surket      17 swe  1 15  9  5 24 483 221 990  79   6   0  518   1   0   0   9   7   3   0   2  10   0   0
H_Axisa       17 mex  1 13  8  3 23 483 955  23 995   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Tricky      19 eng  1  9 19  3 32 579 414  75 352  10   0  951   1   0   0   3  21   7   1   2   0   0   0
U_Worthing    19 eng  1  9 18  3 14 803 329 884 932  10   0  951   0   0   0   3  32   7   1   3   0   0   0
X_Bunn        19 eng  1  4 18  8 18 659 737 531 515   5   0  468   0   0   0   1  17   9   0   1   0   0   0
I_Tyra        17 usa  1  7 17  8  9 364 183  15 825  10   0  951   0   0   0   6  18   9   0   1   0   0   0
X_Guinea      16 nig  1  4 16  6 63 364 477 523 179  10   0  679   0   0   0   2  22   4   1   7   3   0   0
M_Swalbach    19 nor  1  7 15  4 11 803 139 363 610   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Justin      19 jam  1  8 15  7 42 483  19 158  70   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Kueneman    18 ger  1  7 14  6  9 483 119 970 597   1   1    5   0   0   0   0   0   0   0   0   0   0   0
E_Hylton      16 ire  1  5 14  3 11 364 750 743  33   4   4  162   0   0   0   1  10   0   0   1   3   0   0
G_Furnkrantz  19 nor  1  9  3 19 33 659 220 821 211   8   0  649   1   0   0   1   3  41   5   1  10   0   0
P_Dyos        16 arm  1  9  9 15  9 364 454 870 757   9   2  782   0   0   0   3   8  34   3   0   0   0   0
U_Swinson     18 wal  1  4  6 13 19 483 473  70 918   1   1   46   0   0   0   0   0  10   1   0   0   0   0
