Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Silva       19 uru 20  1  1  1 21 179 651 651 651   7   0  640   0  21   9   0   0   0   0   0  10   0   0
S_Burditt     16 xxx 12  1  1  1 35 482 336 336 336   2   1  142   0   2   8   0   0   0   0   0   0   0   0
G_Aylwin      19 usa  1 16  3  5 10 595 915 448 632   8   0  782   0   0   0   7   2   3   1   0   0   0   0
Q_Sutphin     19 usa  1 16  5  8 14 721  70 140 879   8   0  782   0   0   0   9   4   7   1   0   0   0   0
Y_Gullage     18 fra  1 15  3  7 34 595 638 803 663   8   0  782   0   0   0   1   5   5   0   0   6   0   0
I_Cumplido    17 xxx  1 15  8  4 10 336 645 619 729   8   0  782   0   0   0   5   6   3   0   0   6   0   0
P_Swingler    18 xxx  1 15  6  8 10 336 933 516  11   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Uzzle       18 aus  1 14  5  5 43 589 942 265 491   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Vought      17 xxx  1 14 10  3 16 336 512 607 694   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Summerson   17 swe  1 13  2  6  8 476 621 597 691   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Munichman   19 ger  1  5 18 15 49 721 457 437 932   8   0  782   1   0   0   3  16   7   1   2   6   0   0
L_Yungling    19 GER  1  6 17  8 16 476 479 255 752   8   0  782   1   0   0   2  20   7   1   3   0   0   0
N_Swaford     19 wak  1  9 16  6 20 721 874  79 405   8   0  782   1   0   0   4  17   5   0   4   0   0   0
S_Butts       19 eng  1  8 14  5 21 721 281 940 113   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Yurko       18 jap  1  5 14  4 14 476 705 670 238   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Dunnington  17 ire  1  3 13  6 20 476 944 851 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Huebner     18 ger  1  7 13  4 19 476 946 659  36   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Wroten      18 eng  1  7 13  3 38 476 705 660 989   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Dumler      18 t&t  1 10 13  2 25 595 999 581 810   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Luziardi    19 ita  1  7 11 18 33 595 697 846 266   8   0  732   1   0   0   2   3  16   2   1   0   0   0
F_Muirfoot    18 ire  1  8  9 16 32 595 803 656 754   8   0  782   0   0   0   2   4  22   5   0   9   0   0
O_Busie       16 xxx  1  7  4 15 16 336 721 457 689   4   0  403   0   0   0   1   2   5   1   0   0   0   0
C_Avitts      16 xxx  1  5  2 12 26 336 514 496 786   0   0    0   0   0   0   0   0   0   0   0   0   0   0
