Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Theoharris  25 aus 25  2  2  2 27 995 323 358 323  12   0 1064   0  64  21   0   0   0   0   0   3   0   0
R_Wayne       28 eng 20  2  2  2 20 650 735 744 735   2   1  168   0   1   2   0   0   0   0   0   0   0   0
Phluid        29 bel  1 28  3  3  7 800 823 856 619   8   1  647   0   0   0   9   2   0   0   0  10   0   0
M_Seder       25 nir  2 25 21 10 11 215 236 225 974  13   0 1147   1   0   0  17  12   6   0   1   0   0   0
D_Kemmerer    23 usa  1 24 21 17 14 975 271 760 509  13   0 1094   2   0   0  14  13  19   1   3   3   0   0
Atreyoo       24 arg  1 24 20  4 20 710 163 743 930   9   0  765   1   0   0  10  13   2   1   0   6   0   0
L_Ryan        26 eng  2 23 22 21 13 557 758 997 190  13   0 1232   1   0   0   8  20  22   5   1   3   0   0
Avinho        24 bra  2 22 21  8 21  35 784  80 626  13   3  878   0   0   0   6  10   8   0   3   6   0   0
C_Burda       22 por  1 20  9  4 43 827 713 567 713   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Keifer      24 hol  2 19 19  9 10 215 971 453 782   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Seekell     28 saf  2 15 26  6 52 905 249 971 232  12   7  615   0   0   0   3  14   3   0   4  10   0   0
K_Raikkonen   29 fin  1 20 26 10 12 948 505 400 387  13   0 1030   0   0   0   3  16   8   0   1   0   0   0
Diablo        26 uru  1 20 25  8 35 758 712 712 790  12   0 1117   0   0   0   4  21   5   1   2   3   0   0
P_Buswell     23 aus  1  9 24  3 10 817 880   4 446  13   4  784   1   0   0   1  16   3   0   4   6   0   0
T_Hawley      27 nir  2 22 23  6  8 449 899 120 299  10  10  366   0   0   0   6   3   2   0   0   0   0   0
E_Beisch      27 bel  2  8 22  6 16 557 536 972  90   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Schoppe     23 ger  2  8 22 14 23 233 239 342 979   2   2   82   0   0   0   1   1   1   1   0   0   0   0
C_Murray      22 eng  1 11 20  5 20 891 810 778 714   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Beening     25 nir  2  7 19 19 27 215 636 674 598   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Rummage     21 sco  1  7 20 14 19 807 120   3 788   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Zyma        20 hol  1  8 19  4 45 566 278 539 794   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Papa_Lazarou  25 eng  2  6 21 25 44 239 127 801 491  12   0 1006   0   0   0   0   8  43   6   0  10   0   0
R_Gelman      23 aus  1 14 21 23 10 939 558 331 524  13   0 1083   1   0   0   1   7  39   6   0   0   0   0
Lamborghini   22 ita  1  7 15 23 24 624 956 701  14  11  10  300   0   0   0   0   1   9   2   0   0   0   0
L_Vaz_Te      29 mex  2  6 11 22 42 668 888 771   1   1   1   17   0   0   0   0   0   0   0   0   0   0   0
