Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Lulis       19 CZE 17  1  1  1 20 565 541 541 541   6   0  573   0  30   7   0   0   0   0   0   0   0   0
F_Lutrick     18 ger  1 17  4 10  8 541 693 691 681   6   0  545   0   0   0   7   0   2   0   0   0   0   0
O_Duschl      18 fra  1 17  3 12 12 439 698 903 123   6   0  544   2   0   0  13   1   4   2   0   0   0   0
N_Tumulty     19 ire  1 16  6  2 18 541 319 586 553   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Aurada      18 xxx  1 16  9  3 26 325 712 584  15   6   0  502   0   0   0  10   4   1   0   0   0   1   0
U_Kurze       19 den  1 16 11  3 21 439 242  63  96   1   1   42   0   0   0   0   1   0   0   0   0   0   0
S_Burtcher    17 xxx  1 16  2  6 42 325 150 885 481   6   0  490   1   0   0   8   1   5   0   0   3   0   0
T_Myrman      18 xxx  1 15  3  4  8 325 528 708 434   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Szura       18 xxx  1 15  4 12 41 325 536 462 887   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Currington  18 fin  1 15  2  5 18 433  80 899  75   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Sniper        19 xxx  1 10 20 18 45 325 587 135 233   6   0  525   0   0   0   1  12   8   0   2   0   0   0
T_Wretham     18 ire  1  5 16  4 41 541 959 416 999   6   0  550   0   0   0   1  11   1   0   0   3   0   0
B_Aveyard     19 rus  1  3 16  6 24 439 859 110 515   1   1   13   0   0   0   0   0   0   0   0   0   0   0
B_Fummerton   18 wal  1  4 15  3 42 439 646 854 910   4   2  199   0   0   0   1   4   1   0   0  10   0   0
K_Rushia      17 ukr  1 10 15  6 12 439 921 502 236   4   0  320   0   0   0   1   7   2   0   1   0   2   0
D_Szegedin    17 ukr  1  4 15  3 39 439 842 590 205   6   0  573   0   0   0   2  20   0   0   3   0   0   0
X_Mulroney    17 xxx  1  3 14  3 43 325 476 506 352   4   4   92   0   0   0   0   2   0   0   0   0   0   0
R_Kuyt        19 hol  1  6  2 18 18 439 799 957 312   6   6  169   0   0   0   0   0   8   3   0   0   0   0
E_Byrns       17 xxx  1  3 13 16  9 325 613 441 561   6   0  573   0   0   0   1   4  14   1   0   0   0   0
U_Evarts      19 jam  1  7  5 15 34 685 858 747 731   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Guevara     19 spa  1  7  3 15 25 439 579  67 592   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Dumsday     16 xxx  1  3  4 15 18 325 563 741 530   6   0  573   1   0   0   0   1  14   3   0   0   0   0
