Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Dahill      21 fra 17  1  1  1  9 624 300 300 300  11   0 1039   0  34  13   0   0   0   0   0   0   0   0
Y_Tsinaji     16 col 14  1  1  1 10 791 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Aslinger    16 col 14  1  1  1  8 372 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Cobia       20 bra  1 19  3  5 58 300 411 673  71  11   0 1039   0   0   0  11   5   5   0   0   2   0   0
N_Bankey      20 aus  1 18  8 13 33 300 565 257 740  11   0 1039   1   0   0  13   9   5   0   1   4   0   0
Y_Bramble     19 den  1 18  3  7 17 292 179 440 582  11   0 1039   0   0   0  10   2   5   0   0   2   0   0
Y_Wierhake    20 jap  1 17  3  3 55 300 254 834 381  10   0  946   0   0   0   7   1   2   0   0   0   0   0
F_Springhall  18 cam  1 16  7  9 17 300 972 497 872   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Druery      17 col  1 15  3 14 41 300 732 909 420   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Samways     21 eng  1  3 19  4 19 300 800 956 834  11   0 1039   0   0   0   1  21   2   0   2   0   0   0
A_Canchola    20 spa  1  8 19  9 25 300  16 962 187  11   0  961   1   0   0   5  12  12   2   0   2   0   0
S_Daoust      20 hol  1  9 19 12 16 300 295 470  74   7   0  632   0   0   0   1   8   6   0   0   2   0   0
L_Konicki     19 cze  1 16 18  5 20 300 651 195 583  11   0 1039   0   0   0   5  26   3   0   1   0   0   0
N_Lace        19 cze  1  6 17  8  8 300 951 996 542   6   1  500   0   0   0   3   7   3   0   1   0   0   0
P_Stokem      18 col  1  8 16  5 59 300 402 935  79   1   1   78   0   0   0   0   1   1   0   0   0   0   0
P_Armes       17 aus  1  3 14  3  9 300 958 780 957   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Klosset     20 cam  1  3  7 19 40 300 273 436 612  11   0 1039   1   0   0   2   9  32   4   1   0   0   0
D_McNew       21 uru  1  3  4 19 16 300 593 355  28  11   0 1039   1   0   0   2   5  25   3   1   0   0   0
Y_Pooter      19 nig  1  8  8 17 31 300 450 667 854   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Wolfenden   16 col  1  5  5 13 31 300 377 377 793   0   0    0   0   0   0   0   0   0   0   0   0   0   0
