Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Wai_So_Dim    32 chi 24  1  1  1 27 789 696 696 696  22   0 2129   0  80  21   0   0   0   0   0   2   0   0
K_Wyssbrod    23 usa 20  2  2  2 11 650 129 129 129   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_da_Bahia    30 bra  2 25 16  2 27 417 749 776 559  22   0 2129   2   0   0  21  27   9   0   2   2   0   0
J_Bond        27 eng  2 23 14 22 25 689 356 519 306  18   0 1699   0   0   0  15   7  30   5   0   6   0   0
Akihito       26 jap  2 23 17 19 24 645 290 841 443  21   0 2000   3   0   0  18  11  47   6   0   0   0   0
Salvador      28 bra  1 22 15 10 18 696 619 445 459  21   0 2021   0   0   0  19  16  15   3   1  16   0   0
L_Provost     24 eng  1 22 10 18 32 760  68 662 663  18   0 1672   0   0   0  22  11  34   3   1   4   0   0
O_Mulhare     21 nir  1 21 10 15 11 972 428 713 138   8   2  576   1   0   0   8   2   9   2   0   0   0   0
P_Cece        26 hol  2 20  7  3 11 417 123 978 143   4   2  248   0   0   0   3   1   0   0   0   0   0   0
F_Cullumber   23 nzl  1 19  3  6 52 984 388 146  69   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Bunday      22 ivo  2 19 10 14 49 137 550 173  94   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Kelsheimer  28 ger  2 17 23 12 13 633 933 966 883  22   0 2043   1   0   0   9  39  20   1   2   2   0   0
Q_Dunshee     20 sco  1  8 23 17 21 426 449 789 891  21   0 2023   1   0   0  10  39  23   2   3  12   0   0
J_Kelp        26 sco  2 19 22 11 45 633 185 979 317  21   0 1939   1   0   0  15  33  17   2   4   6   0   0
S_McDuck      32 SCO  2 10 22  9 21 249 400 843 145  22   4 1471   1   0   0   3  23  12   0   4   4   0   0
D_Szpek       21 rus  2  6 21 13 31   9 408 384 204  11   5  729   0   0   0   0  16   5   0   1   0   0   0
F_Czerniak    23 cze  2 13 19  3 16 129 394 937 444  11  11  301   1   0   0   1   7   0   0   2   0   0   0
Hercules      28 gre  1  7  8 26 31 640   4 653 495  22   0 2129   2   0   0   4   7  56   9   0   6   0   0
Elma_Fudd     22 eng  1  4 11 20 42 616 796 235 430   8   6  284   0   0   0   0   3   7   0   0   2   0   0
E_Kennefick   29 den  2 12  4 19  9 770 714  12 577   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Plumlee     22 eng  1 15  2 19 45 992 185 274 413   0   0    0   0   0   0   0   0   0   0   0   0   0   0
