Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
I_Buttar      21 gha 20  2  2  2 33 456   9   9   9   2   1   99   0   5   0   0   0   0   0   0   0   0   0
B_Turfitt     19 eng 17  1  1  1 34 921 738 738 738   1   0   88   0   3   2   0   0   0   0   0   0   2   0
P_Sumney      21 eng  1 20  5 11  5 720 488 234 212   2   0  187   1   0   0   5   3   3   0   0   0   0   0
S_Luschak     20 hol  1 19  5  7 32 738 760 259 177   2   0  187   0   0   0   1   1   1   1   0   0   0   0
I_Cutright    20 nir  1 18  7  7 13 586 268 276 317   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Xuereb      19 jap  1 17  9  7 50 738 125 695 229   2   0  187   0   0   0   1   3   1   0   0   0   0   0
P_Pottle      18 sco  1 17 10  3 43 466 178 425 542   2   0  187   0   0   0   2   2   1   0   1   0   0   0
M_Evanchuck   18 eng  1 16  7  5 66 426 586 517 952   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Ivemay      18 sco  1 14  6  3 12 426 543 449 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Awde        21 tog  1  5 20 10 54 864 884 777 859   2   2   60   0   0   0   0   1   0   0   0   0   0   0
D_Guice       21 fra  1  6 20 19 15 972 312 740 114   2   0  187   0   0   0   1   4   3   0   0   0   0   0
B_Bodge       20 eng  1  5 18 11 35 466 665 822 567   2   0  187   0   0   0   0   2   3   1   0   2   0   0
I_Muncer      19 wal  1  7 18  3 14 426 412 836  51   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_June        20 eng  1 14 18  4  8 882  12 319 912   2   0  187   1   0   0   3   5   2   0   0   0   0   0
E_Eustler     20 ire  1  8 17 15 26 738 297 918 713   2   0  187   0   0   0   0   2   5   1   1   0   0   0
Y_Pruden      19 swe  1  1 17  6 10 426 987 109 289   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Buttolph    20 ger  1  3 16  6 15 586 931 969 655   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Aymerich    18 pol  1  5 16 13 18 586 472 718 577   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Runthal     18 nor  1  3 16  6 23 426 884 341 285   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Broadbent   21 eng  1  4 12 21 27 784 393 356 210   2   0  127   0   0   0   0   1   6   0   0   0   0   0
Chanho        20 hkg  1 11  7 20 10 586 551 241 202   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Worthing    20 eng  1  4 14 19 14 882 381 235 282   2   0  187   0   0   0   0   4   7   2   0   0   0   0
I_Bulwan      18 ire  1  6  9 16 22 586 524 505 687   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Everling    18 swe  1  5 11 15 14 591 574 675 833   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Stpierre    16 ita  1  6  9 14 10 300 229 419 595   0   0    0   0   0   0   0   0   0   0   0   0   0   0
