Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
L_Alvarez     33 bbs 29  1  1  1 13 710 390 390 390   2   0  189   0  13   3   0   0   0   0   0   0   0   0
#T_Woolman     34 fir 22  1  1  1 38  68 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Heiden      32 bec 22  1  1  1 10 937 390 390 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#S_Lenegear    21 cho 19  1  1  1 51 619 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#Y_Minozzi     28 cat 18  1  1  1 60 114 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#W_Uller       22 foo 18  1  1  1  9 538 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#C_Bellin      22 joh 17  1  1  1 15 718 390 390 390   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#P_Bonanno     19 why 17  1  1  1 15 148 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#A_Renzella    21 say 16  1  1  1 17 501 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Figueroa    30 cop  6 25 22 15 23 320 972 187 477   2   0  189   0   0   0   2   1   2   1   0   0   0   0
E_Garay       29 joh  1 24  7  6 10 480 436 312 858   2   0  187   0   0   0   0   0   1   0   0   0   0   0
W_Perri       30 foo  5 22  4  7 25 390 771 317 463   2   1   97   0   0   0   1   1   1   0   0   0   0   0
L_Zerbel      27 mod  4 21 18 16 35 300 344 199 514   2   0  117   0   0   0   2   2   0   0   0  10   0   1
R_Ayala       19 bby  4 21  9  3 28 300 364 213 928   1   0   66   0   0   0   1   0   0   0   0   0   0   0
O_Punch       32 hur  3 20  7  6 34 300 841 815 171   1   1   28   0   0   0   0   0   0   0   0   0   0   0
#W_Schug       23 les  1 19  5  3 58 300 806 914 238   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#L_Riggers     19 dsy  1 19  5  5 30 300 440 338 569   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#D_Difederico  19 why  1 19  4  6 25 300 100 240 122   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Pioletti    18 mfy  1 18  5  7 23 300 243 910 379   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Wible       20 muy  1 18  8  8 64 300 991 186 941   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#E_Verchsion   20 bry  1 17  7  6 43 300  13 104 121   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Bontempi    18 muy  1 16 10  4 14 300 628 871 843   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Gutierrez   33 bag  1  7 26 13 49 770 265 290 758   1   0   40   0   0   0   0   0   1   0   0   0   0   0
J_Weatherbie  27 bwr  4  9 25 13 30 615 929 884 951   2   0  189   0   0   0   1   5   3   0   0   0   0   0
S_Gates       25 bwr  2 17 25 17 12 151   0 374 144   2   0  189   0   0   0   2   2   3   0   0   0   0   0
X_Striplin    23 tan  5  7 23 12 26 450 576 970 590   2   0  189   0   0   0   0   4   0   0   0   0   0   0
P_Gilbough    21 cho  1 14 21 14 16 300 760 659 413   2   1  149   0   0   0   1   2   1   0   0   0   0   0
#I_Frostholm   24 vil  1  7 19 11 55 840 494  35 961   1   0   56   0   0   0   0   1   0   0   0   0   0   0
#C_Lopez       30 man  4  8 19  2 28 300   9 950 449   1   1   38   0   0   0   0   0   0   0   0   0   0   0
#C_Dinicola    19 fsy  1  4 19  5 28 300 116  43 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_McElwee     20 why  1  3 19  5  8 300 755 990 782   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#C_Bastian     22 fir  1  2 18  3 41 300 974 846 221   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#L_Claybaugh   20 hry  1  4 18  3 38 300 479 113 258   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Enzo_Perez    18 npy  1  5 18  6  8 360 430   7 358   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#M_Busse       24 fea  1  6 17  8 30 480 598 550 945   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#F_Shattock    22 pen  1  4 17  7 59 300 648 392 854   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#F_Anselmi     20 suy  1  6 17  4 15 300 831 489 286   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Bobadilla   18 fcy  1  7 17  2 26 300 559 573 899   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Cavallaro   17 dpy  1  6 16  5 14 570 231 527 946   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#F_Cartabia    17 dpy  1  3 16  3 35 570 980 442 980   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Romero      17 dpy  1 10 15  4 11 570 967 855 333   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Liden       29 der  7  8 16 23 33 300 977 497 461   2   0  189   0   0   0   0   1   4   0   0   0   0   0
#U_Ren         31 cat  1  4  4 20 28 300 772 659 527   1   0   95   0   0   0   0   0   1   0   0   0   0   0
J_Francisco   19 ldy  1  7  6 19 47 300 510 568 138   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#O_Florin      19 jsy  1  9  3 18 50 390 684 513 782   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#O_Simonelli   20 dsy  1  4  3 17 15 300 146 244 269   0   0    0   0   0   0   0   0   0   0   0   0   0   0
#R_Balderrama  18 hry  1  6  5 17 40 300 997 363 376   0   0    0   0   0   0   0   0   0   0   0   0   0   0
