Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Dai_Davies    25 wal 26  1  1  1 11 392 390 570 310   2   0  193   0   7   3   0   0   0   0   0   0   0   0
Tico_Squirrel 23 usa 20  1  1  1 48 424 300 300 310   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_A_Campbell  19 sco 18  1  1  1 20 450 500 300 510   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Mcqueeney   32 ire  2 26 19 14 16 660 505 369 890   2   0  170   0   0   0   0   2   0   0   0   0   0   0
AJ_Cam_Seung  33 KOR  6 26 17 11 34 390  29 752   7   2   0  193   0   0   0   1   3   2   0   0   0   0   0
Joey_Alansky  25 cze  6 24 12 12 26 390 727 241   3   1   1   23   0   0   0   0   0   0   0   0   0   0   0
S_Kyriakos    28 gre  5 24 19  6 44 480 500 326  35   2   0  193   0   0   0   4   1   1   1   0   0   0   0
Ivor_Biggin   30 aus  1 24 16 13 25 390 186 875 752   2   0  174   0   0   0   0   2   1   0   0   0   0   0
Arsene_Truder 27 fra  2 23 14 10 24 551 850  44 871   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Starr       23 nzl  2 21 17 12 30 300 671 172 432   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Mosko       23 cam  4 21 17  8 36 300   5  93 351   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Tripkovic   31 cro  1 16 30 18 29 860 843 273 330   2   0  193   0   0   0   1   8   3   0   1   0   0   0
Chet_Donnelly 32 hol  6 10 26 14 18 390 757 128  97   2   0  193   0   0   0   0   4   2   0   0   0   0   0
Juan_Verzeri  26 uru  3 16 25 19 40 390 899 891 104   2   0  193   0   0   0   1   4   1   0   0   2   0   0
A_Vasofiakov  24 rsa  1  2 22 14 11 390 571 998 519   2   2   37   0   0   0   0   0   0   0   0   0   0   0
P_Beaston     25 jam  2 19 21  9 31 209 669 904 573   1   0   79   0   0   0   0   2   0   0   0   0   0   0
F_Griffin     23 aus  1  5 21 18 62 714 786  72  89   1   0   96   0   0   0   0   2   3   0   0   0   0   0
T_Duswalt     28 egy  1  5 20  6 20 570 298  41 115   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Charquero   28 uru  1  6 18 29 11 480 871 946 922   2   0  193   0   0   0   1   2   8   0   0   0   0   0
Snoopy_Junior 34 bra  1  1 10 24 25 390 594 240 851   1   0   97   0   0   0   0   1   1   0   0   0   0   0
AJ_Gillespie  22 nir  2  7 18 22 13 300 172 341 907   1   0   96   0   0   0   0   1   4   0   0   0   0   0
B_Kadrii      24 den  1  3 11 17 13 390 881 270 463   0   0    0   0   0   0   0   0   0   0   0   0   0   0
