Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
Herbie        21 eng 22  1  1  1 12 200 500 300 500   9   0  857   1  57  18   0   0   0   0   0   0   0   0
S_Krumbach    17 chi 15  1  1  1 41 655 500 300 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Combi       17 ita 15  1  1  1 17 626 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_J_Osborne   19 nir  1 18 11 12 11 300 698 435 886   9   0  810   0   0   0   7   5   9   0   0   0   0   0
B_Busbridge   19 wal  1 18  5  5 29 300 137 457 505   4   1  307   0   0   0   3   1   3   0   0   0   0   0
F_Walter      18 ger  1 17  5  3 37 300 257 837 789   1   1   21   0   0   0   1   0   0   0   0   0   0   0
K_Friedline   18 chi  1 17  7 12 18 300 339 250   7   9   0  766   0   0   0   8   2   8   2   0   0   0   0
C_Judd        17 chi  1 16  7  8 19 300 846 195 605   9   0  813   1   0   0  11   3   5   1   1   0   0   0
F_Mougenel    17 chi  1 16  6  7 11 300  44 964 189   8   7  232   0   0   0   4   2   1   0   0   0   0   0
J_Nassazi     16 uru  1 14 10  6 10 300 689 428 629   5   0  478   0   0   0   4   4   3   0   0   0   0   0
E_Alizadeh    20 egy  3 10 21 13 18 450 185 824 261   9   0  754   0   0   0   3  12   2   1   0   0   2   0
H_Herrera     21 mex  1 10 20 10 13 300 476 778 969   5   1  409   0   0   0   1   5   2   1   1   0   0   0
A_M_Campbell  21 eng  1 14 20 14 22 300 911 555 581   9   0  771   0   0   0   2  11   4   1   0   0   0   0
D_Patterson   19 sco  1 17 19 12 20 300 167 703  21   9   0  838   2   0   0   6  11  10   1   2   0   0   0
C_Gamboa      21 nig  1  6 18  8 19 300 304 573  38   1   1   16   0   0   0   0   0   0   0   0   0   0   0
Joey_Campbell 19 ire  1  5 18  5 20 300 732 651 796   3   0  245   0   0   0   0   4   0   0   2   0   0   0
Troy          21 usa  1  3 17  4  8 300 858 319 762   3   3   54   0   0   0   0   0   0   0   0   0   0   0
G_Meazza      17 ita  1  3 15  5 24 300 493 945  78   9   5  530   0   0   0   0   7   4   1   0   0   0   0
O_Varela      16 uru  1  4 13  3 18 300 326 550 379   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Milla       20 cam  1 12 16 21 33 300  58 261  66   9   0  819   0   0   0   3   5  16   3   1   2   0   0
J_Vestergaard 21 den  1  4  3 19 13 300 541 671 172   3   3   38   0   0   0   0   0   0   0   0   0   0   0
J_Campbell    21 usa  1  4  8 19 12 300 165 939 159   8   5  325   0   0   0   1   3   7   2   0   0   0   0
O_Baba        17 alb  1  1 10 17 39 500 570 582 732   4   0  343   0   0   0   0   1   8   1   0   0   0   0
Y_Frambes     19 fra  1  6  5 15 16 300 645  92 744   0   0    0   0   0   0   0   0   0   0   0   0   0   0
