Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Lehmann     29 ire 31  1  1  1 24 172 480 300 300  15   0 1430   2  99  25   0   0   0   0   0   0   0   0
D_Candela     26 mex 20  1  1  1  8 852 300 300 300   1   0   96   0   7   3   0   0   0   0   0   0   0   0
R_Roohoo      30 hol  7 27 17  5 31 300 766 176 400  16   0 1199   2   0   0  25  15   5   1   3   4   0   0
C_War         21 jap  7 26 13  9 11 300   4 489  66  15   0 1434   3   0   0  30   9  14   2   0   2   0   0
Finsta_OFive  28 nig  5 25 15 10 35 300 768 899 564  13  11  567   0   0   0  12   6   6   0   0   0   5   0
Gotoku_Sakai  22 jap  8 24 17  6 26 840 555 935 334  16   0 1529   0   0   0  28  12   5   0   2   6   0   0
R_Ayala       21 arg  4 23 10  4 28 300 143 645 339  16   1 1353   0   0   0  13   5   8   2   1   4   0   0
D_D_Aitch     22 eng  1 21 13  8 27 300 399 235 257   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_T_Aitch     24 eng  9 20 13 11 20 300 769  78  28   1   1   48   0   0   0   0   2   1   0   0   0   0   0
F_Swiper      23 usa  1 19  9  6 10 300 423 347  96   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Fullington  26 aus  1 18  7  4 60 300 277 797 762   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Flamang     22 ger  1 16  6  4 53 300 842 729 789   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Redman      34 NIR  1 12 28 14 23 330 838 282 494   8   7  277   0   0   0   0   4   4   1   1   0   0   0
V_Eldridge    31 eng  1  3 26 17 21 335 139 704 708  16  11  728   0   0   0   0  15   8   2   2   4   0   0
Sam_N'Deavii  24 rus  2 14 24 20 14 300  64 304 436  16   0 1529   0   0   0   3  36  24   4   3   0   0   0
E_Levernier   21 por  1 17 22  6 55 300 339 840 876  13   0 1206   0   0   0   8  26   6   1   4  16   0   0
F_Meister     20 eng  1  4 21 16 51 300 318  62 769  16   0 1391   1   0   0   1  20  22   8   3   4   0   0
R_L_Aitch     20 eng  1  4 20 15 21 300 347 593 726  14   0 1029   0   0   0   0  16  19   2   1   2   0   0
X_Wagen       27 cam  1  4 19  4 63 635 517 718  52   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Q_Claspill    22 nig  1  5 18  3 33 300 131 245 155   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Bekahlov    25 rus  1  2  8 24 32 300 118 659 541  16   0 1497   1   0   0   1  10  49   6   1   2   0   0
S_Kuler       23 rsa  1  8 14 23 13 600 502 579 732  16   1  931   0   0   0   0   7  28   6   0   0   0   0
E_McDuffie    24 nir  2  6 16 23 17 300 862 981 501  15  15  534   0   0   0   1   6  18   4   0   0   0   0
T_Zellman     24 hol  1  8  5 18 12 480 343 612 374   0   0    0   0   0   0   0   0   0   0   0   0   0   0
