Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
AJ_Conquest   25 aus 26  2  2  2 31 301 381 581 381   1   0   95   0   6   2   0   0   0   0   0   0   0   0
C_Stankey     29 sco 24  2  2  2 41 106 147 347 147   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Sherwood    23 eng 19  1  2  1 14 903 914 115 914   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Campbell    26 eng  2 26 17 10 15 435 143 658 474   1   0   95   0   0   0   0   0   1   0   0   0   0   0
Wicket        30 ger  2 26 19  1 39 135 696 624 146   1   0   95   0   0   0   2   0   0   0   0   0   0   0
Marc_de_Man   27 bel  2 26 17  7 15 597  25 834 581   1   0   95   0   0   0   2   0   0   0   0   0   0   0
AJ_Kokic      22 cro  7 24 14 10 26 300 651 738 168   1   0   95   0   0   0   0   0   0   0   0   0   0   0
J_Borlini     25 ita  2 23 17  8 29 411 955 857 212   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Aleta         23 bra  1 23 20  7 12 876 566 650 240   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Ridley      25 eng  2 20 14  8 67 669 585 527 859   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Boyle       23 ire  2 19 12  5 11 219 924 662 185   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Weatherbie  30 arg  4 10 26 16 30 615 116 997 316   1   0   95   0   0   0   0   0   0   0   0   0   0   0
Joey_Andava   26 fin  2 22 25  5 17 651 449 305 350   1   0   74   0   0   0   1   2   0   0   0   0   0   0
Nortinho      26 bra  2  7 25 21 29 793 133 135  92   1   0   95   0   0   0   0   1   0   0   0   0   0   0
D_Robson      32 ENG  2  9 25  3  7   3 352 540 530   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Joey_Campbell 23 eng  1 17 23 19 16 966 510 935   3   1   0   95   0   0   0   0   0   1   0   0   2   0   0
C_Fee         26 eng  2 11 23 18 13 639 720 991 862   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Dehoyos     24 far  2  2 23 22 29   9 610 742 123   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Hutchinson  25 nzl  2  5 19 13 11 219   3 816 458   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Rooney      27 eng  2  6 15 25 20 597 186 313 117   1   0   95   0   0   0   0   1   0   0   0   0   0   0
H_Lewis       26 eng  1  5 16 25 25 300 916 366 236   1   0   95   0   0   0   0   0   3   0   0   2   0   0
JoJo_Camez    22 mex  1  6 16 23 23 840 765 500  41   1   1   21   0   0   0   0   0   0   0   0   0   0   0
E_Butragueno  23 spa  1  2 11 20 13 914 961 743 243   0   0    0   0   0   0   0   0   0   0   0   0   0   0
