Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
R_Dasayev     21 rus 20  1  1  1 24 576 696 896 696   0   0    0   0   0   0   0   0   0   0   0   0   0   0
AJ_Stretch    19 eng 20  1  1  1 38 123 544 744 544   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Hans_Slipp    21 ger 17  1  1  1 11 724 696 896 696   0   0    0   0   0   0   0   0   0   0   0   0   0   0
AJ_Zanetti    21 arg  1 21 20 11 17 804 871 120 651   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Davy        21 eng  1 19 16  9 16 696 347 480  28   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Oxley       20 wal  1 19  9  7 18 696  36 556 263   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Holan       19 nzl  1 18 15 16  9 400 635  36 810   0   0    0   0   0   0   0   0   0   0   0   0   0   0
AJ_Santos     18 bra  1 18 13 11 15 544 477 455 299   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Plonka      21 ukr  1 18  6 11 17 840  85 424 549   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Baz_Trident   19 nzl  1 17  5  7 41 696 823 354 635   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Smicer      17 xxx  1 15  3 14 21 300 152 104 145   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Lesesne     16 xxx  1 13  8  2 19 300 179 205 206   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Dasiwa      20 por  1 14 20 10 12 400 942 146 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Neeskens    21 hol  1 10 19  6 32 984 312 389 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Dodie_Smith   20 eng  1  4 18  8 35 696  67 881 383   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_M_Campbell  18 eng  1 14 18  4 19 544 354 510 852   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Willy_Kerkhof 18 hol  1  5 17  7 17 544 395 777  82   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Alan_Michael  18 eng  1 14 17 10 38 400 353 304 285   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Eltz        16 xxx  1  2 13  2 22 300 258 153 348   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Teo_Cubillas  19 per  1 14 10 18  8 544 351 749 933   0   0    0   0   0   0   0   0   0   0   0   0   0   0
AJ_di_Camano  18 arg  1 16 17 18 39 544  43 220 495   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Grinter     17 hun  1  8  5 15 57 400 107 639 993   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_McNeel      16 xxx  1  4  3 14  9 300 460 136 606   0   0    0   0   0   0   0   0   0   0   0   0   0   0
