Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
D_Pippi       17 ita 18  1  1  1 26 610 372 372 372  12   0 1071   0  41  21   0   0   0   0   0  12   0   0
B_Jackson     21 usa 17  1  1  1 36 329 300 300 300   2   0  192   1  16   1   0   0   0   0   0   0   0   0
Jurgensmeier  18 nzl 17  1  1  1 16 538 300 300 300   3   1  261   0   8   7   0   0   0   0   0   0   0   0
H_Chang       19 jap 16  1  1  1 43 866 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Young       19 sco  1 20 15  5 10 552 426 273 451  16   0 1524   0   0   0  23  13   8   1   0   0   0   0
D_Hargrave    19 nzl  1 19  8  6  9 300  16 399 119   3   0  287   1   0   0   5   2   3   0   1   2   0   0
N_Heywood     21 nir  1 18 10  8  9 300 311 216 164   6   3  370   0   0   0   1   2   2   0   0   0   0   0
L_Pulley      20 usa  1 18  7 13 12 300 479 779 767   2   0  192   0   0   0   0   1   3   2   0   0   0   0
S_Balmer      17 sco  1 18  5 15 12 408  73 798 235  14   0 1332   1   0   0  14   5  24   4   0   2   0   0
P_Fox         16 ger  1 15  7  7 22 300 585 862 524  13   0 1154   1   0   0  17   8   9   0   2   0   0   0
E_Morbroder   16 sui  1 15  5  9 10 300 495 629 610  14   0 1332   0   0   0  20   5  16   1   1   2   0   0
S_Previto     16 sui  1 15  6  6 49 300  27 814 582   3   0  285   1   0   0   5   4   1   1   0   2   0   0
R_Ridings     16 eng  1 14  5  2 32 300 997 759 516   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Bowles      20 nzl  1 11 18  6 24 300 546 283 109  12   0 1142   0   0   0   6  22   5   1   1   2   0   0
A_Naggiar     20 cam  1  9 18  8 14 300 119  84 158   2   0  192   0   0   0   0   2   0   0   0   0   0   0
T_Leiter      19 mex  1  5 18  7 31 300 254 747 173   1   0   94   0   0   0   0   4   0   0   1   0   0   0
E_Porath      18 egy  1  8 18  8 16 705 170 459 221   6   2  483   1   0   0   1   7   4   0   1   0   0   0
A_Hall        20 eng  1  8 18 12 52 300  72  45 640   3   0  291   0   0   0   1   5   2   0   1   0   0   0
Owen_Evans    21 wal  1 11 17  3 12 300 806 854 222   4   2  305   0   0   0   0   8   0   0   1   0   0   0
P_Abdulla     19 egy  1  7 17  8 39 300 235 686 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0
X_Ashinhurst  17 sui  1  5 16  4 33 300 519  84 498  11   0 1044   0   0   0   2  14   2   0   1   2   0   0
Willy_Wonka   16 usa  1  5 15  8 14 300 229 448 514  14   0 1301   1   0   0   1  14  12   0   3   0   0   0
L_Montavon    16 sui  1  8 15  7 12 300 712 432 214  12   0 1008   0   0   0   1  23   7   1   1  10   0   0
G_Jackson     21 usa  1  8  4 17 16 300 760 196 980   3   0  288   0   0   0   0   0   9   1   0   0   0   0
J_Moreman     20 eng  1  7  7 17 32 300 195 694 694   2   0  192   0   0   0   0   0   3   0   0   0   0   0
C_Bailey      18 nzl  1  4 12 17 25 300 745 951 603  14   0 1262   0   0   0   2   7  36   6   1   0   0   0
T_Crole       18 sui  1  4  4 16 25 300 697 650 891   2   2   57   0   0   0   0   1   3   0   0   0   0   0
Pavlyuchenko  17 rus  1  5 10 15 32 300 192 236 169   0   0    0   0   0   0   0   0   0   0   0   0   0   0
I_Moninghoff  16 sui  1  8 11 15 30 300 562 737 178  13   0 1096   0   0   0   3   6  32   5   0  12   0   0
