Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
R_McBekah     19 sco 21  1  1  1 56 289 300 300 300  12   0 1081   0  48  27   0   0   0   0   0   6   0   0
R_Noodle      19 jap 18  1  1  1 25  17 300 300 300   4   1  346   0  22   8   0   0   0   0   0   0   0   0
S_Gambetta    19 uru  1 19  8  5 12 300 265 728 566  15   0 1393   0   0   0  17  10   4   1   0   0   0   0
J_Stam        19 hol  1 19  8 11 50 300  20  30  70  12   0 1053   1   0   0   8   9  13   2   0   4   0   0
D_Apperlaughs 18 ire  1 17 11 10 75 300 698 352 773  15   1 1364   1   0   0  21   7  13   3   2  10   0   1
R_Uby         17 gre  1 17 12 10 13 300 466 368  43  10   0  908   0   0   0   9  12   4   0   2   0   0   0
Le_Finn       18 fra  1 17  3 11 51 300 489 574 683  15   0 1427   0   0   0  19   0  15   1   0   2   0   0
B_McBoris     17 sco  1 15 12  4 21 300 317 722 589   6   3  411   0   0   0   5   3   0   0   0   0   0   0
F_De_Finster  19 bel  1 14 20  3 47 300 212 243 966  15   0 1427   0   0   0   6  26   5   0   2   6   0   0
V_Lindelof    20 swe  1 16 18  7 51 300 174 166  86  15   0 1427   1   0   0   3  20  10   1   3   4   0   0
Efftee        18 por  1 16 18  3 24 300 368 348 512  15   0 1363   0   0   0   7  23   7   1   1   0   0   0
S_Nankala     19 nig  1 11 17  7 17 444 978 347 884   7   6  276   0   0   0   2   2   1   0   0   0   0   0
Rene_Kerkhof  17 hol  1 10 16  3  8 428 576 278 153   5   0  367   0   0   0   0   3   1   0   0   0   0   0
R_Nutt        19 ecu  1  8 16 10 16 426 382  27 620   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Cramond     16 ecu  1  7 13  7 24 300 687 946 552   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Bellamy     21 wal  1  3  8 19 11 300 528 463  64  14   0 1287   0   0   0   1   7  25   5   0  10   0   0
S_Berenson    21 usa  1  3  7 17 43 300 914 369 279   2   1  120   0   0   0   0   0   0   0   0   0   0   0
Roobs         18 bra  1  5  7 17 44 300  26 706  94  15   0 1427   1   0   0   1  11  30   4   2   4   0   0
F_Espenship   16 ecu  1  4  4 14 14 300 574 618 973   0   0    0   0   0   0   0   0   0   0   0   0   0   0
